School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Jacksonville State,31,10,21,0.323,-11.97,-5.14,4,12,7,6,2,14,2014,2176,1240,746,1559,0.479,164,432,0.38,520,729,0.713,309,1046,387,179,108,376,606,63.7,110.2,0.468,0.277,0.571,52.4,51.9,9.1,9.9,0.531,16.5,33.5,0.334,NA,NA
Kansas State,33,20,13,0.606,12.14,8.47,10,8,15,2,2,7,2280,2159,1335,723,1774,0.408,162,553,0.293,551,805,0.684,385,1149,380,212,128,416,621,65.6,98.6,0.454,0.312,0.501,49.3,52.6,9.7,10.3,0.453,16.2,33.2,0.311,9.0,R64
Kansas,35,25,10,0.714,20.25,11.4,14,4,14,1,5,6,2764,2454,1410,815,1961,0.416,219,617,0.355,605,892,0.678,373,1073,418,232,111,396,742,68.6,101.5,0.455,0.315,0.515,44.5,51.3,9.6,8.0,0.471,14.2,28.8,0.309,2.0,R32
Kent State,32,16,16,0.5,-1.81,-1.94,7,11,11,7,5,9,2228,2188,1290,717,1667,0.43,182,538,0.338,572,792,0.722,328,1105,388,191,109,427,571,66.5,102.0,0.475,0.323,0.535,50.7,54.1,8.9,9.8,0.485,17.3,30.9,0.343,NA,NA
Kentucky,40,29,11,0.725,18.07,9.9,12,6,16,2,5,5,2992,2665,1615,933,2271,0.411,222,689,0.322,577,836,0.69,437,1231,416,232,123,428,883,65.9,100.1,0.368,0.303,0.499,43.4,44.6,8.7,7.7,0.46,13.8,29.5,0.254,8.0,2ND
Lafayette,31,11,20,0.355,-7.64,-3.38,6,12,6,7,5,13,2212,2315,1250,809,1718,0.471,239,641,0.373,458,630,0.727,341,1033,421,192,93,372,554,65.6,112.9,0.367,0.373,0.574,52.7,52.0,9.4,8.6,0.54,15.6,33.6,0.267,NA,NA
Liberty,32,11,21,0.344,-10.26,-7.47,5,11,7,8,2,12,2250,2234,1280,767,1772,0.433,236,684,0.345,464,644,0.72,320,980,388,207,124,333,560,65.4,106.7,0.363,0.386,0.538,45.2,50.6,9.9,9.7,0.499,13.8,29.0,0.262,NA,NA
Lipscomb,30,15,15,0.5,-8.2,-5.13,10,8,7,5,8,10,2276,2355,1210,782,1662,0.471,235,665,0.353,556,795,0.699,318,1124,413,186,98,428,644,71.0,109.6,0.478,0.4,0.577,53.1,52.8,8.7,10.8,0.541,17.3,31.3,0.335,NA,NA
Long Island University,29,9,20,0.31,-13.66,-5.55,4,12,5,6,4,11,2080,2315,1165,844,1771,0.477,247,633,0.39,380,547,0.695,346,1068,493,198,110,312,535,68.5,116.0,0.309,0.357,0.57,51.6,58.4,9.9,10.8,0.546,13.3,33.9,0.215,NA,NA
Louisiana,35,23,12,0.657,2.91,-0.28,11,7,13,2,6,9,2835,2633,1430,907,2032,0.446,205,614,0.334,614,885,0.694,400,1214,412,212,184,483,744,71.2,103.4,0.436,0.302,0.537,47.7,45.4,8.3,12.6,0.497,16.5,31.6,0.302,14.0,R64
Louisiana State,34,20,14,0.588,10.05,6.61,9,9,13,3,4,9,2540,2423,1375,833,2010,0.414,212,593,0.358,545,778,0.701,412,1240,389,235,126,433,607,70.1,100.5,0.387,0.295,0.509,48.2,46.7,9.7,9.1,0.467,15.4,31.6,0.271,NA,NA
Louisville,37,31,6,0.838,24.69,4.8,15,3,16,2,9,2,2998,2262,1480,786,1983,0.396,170,594,0.286,518,761,0.681,434,1285,387,169,103,638,755,69.0,88.6,0.384,0.3,0.482,47.9,49.2,6.6,7.1,0.439,21.4,32.7,0.261,4.0,S16
Loyola (IL),32,10,22,0.313,-4.75,-1.14,4,14,8,6,0,14,2105,2199,1300,760,1670,0.455,194,551,0.352,485,688,0.705,317,1027,395,214,97,372,590,63.2,107.0,0.412,0.33,0.551,51.4,52.0,10.4,9.1,0.513,15.7,31.0,0.29,NA,NA
Manhattan,33,25,8,0.758,6.04,-0.9,15,5,9,3,12,4,2540,2311,1350,739,1809,0.409,164,502,0.327,669,956,0.7,409,1199,390,207,157,515,772,70.3,97.4,0.528,0.278,0.511,49.3,52.8,8.7,12.3,0.454,18.5,33.3,0.37,13.0,R64
Marquette,32,17,15,0.531,10.08,6.61,9,9,12,4,4,8,2310,2199,1320,749,1772,0.423,241,660,0.365,460,686,0.671,332,1064,453,175,125,422,678,66.3,100.5,0.387,0.372,0.524,47.7,60.5,8.0,9.5,0.491,16.7,29.6,0.26,NA,NA
Marshall,33,11,22,0.333,-4.42,-1.32,4,12,8,8,2,12,2385,2375,1330,835,1889,0.442,197,624,0.316,508,793,0.641,411,1268,442,208,113,446,671,69.6,102.6,0.42,0.33,0.524,50.9,52.9,9.0,8.8,0.494,16.4,34.0,0.269,NA,NA
Maryland-Baltimore County,30,9,21,0.3,-14.21,-6.55,5,11,8,5,1,16,1968,2185,1230,683,1528,0.447,200,546,0.366,619,879,0.704,310,1103,392,225,101,462,605,68.3,103.9,0.575,0.357,0.562,52.0,57.4,10.7,9.2,0.512,19.2,31.5,0.405,NA,NA
