,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
196,197,Murray State,26,13,13,.500,-2.86,-8.20,10,10,9,4,4,8,1986,1739,1045,620,1478,.419,193,604,.320,306,445,.688,227,832,292,136,102,348,369,69.4,96.0,.301,.409,.515,47.0,47.1,7.5,10.8,.485,17.1,24.5,.207
197,198,Navy,18,15,3,.833,1.02,-3.48,12,1,8,2,6,1,1287,1206,730,436,950,.459,124,369,.336,210,309,.680,142,569,234,110,64,275,355,67.2,98.3,.325,.388,.550,47.4,53.7,9.0,9.1,.524,20.0,25.0,.221
198,199,Omaha,25,5,20,.200,-12.73,-2.09,3,11,1,5,3,12,1683,1949,1000,698,1500,.465,209,544,.384,344,467,.737,232,942,346,159,70,303,436,72.2,108.0,.311,.363,.566,52.5,49.6,8.8,6.4,.535,15.0,26.6,.229
199,200,Nebraska,27,7,20,.259,6.08,12.28,3,16,6,9,1,10,1889,2004,1085,711,1686,.422,240,771,.311,342,476,.718,291,1073,388,184,98,356,466,73.0,101.3,.282,.457,.524,52.3,54.6,9.3,10.7,.493,15.7,28.3,.203
200,201,Nevada-Las Vegas,27,12,15,.444,-1.48,1.01,8,10,8,4,3,7,1875,1822,1080,618,1470,.420,232,637,.364,354,486,.728,223,875,369,136,83,324,400,66.8,100.9,.331,.433,.536,47.3,59.7,7.5,8.8,.499,16.0,24.3,.241
201,202,Nevada,26,16,10,.615,5.40,2.12,8,7,10,2,2,7,1916,1812,1040,592,1448,.409,212,638,.332,416,582,.715,231,897,356,169,66,324,505,70.1,99.4,.402,.441,.525,49.2,60.1,9.3,7.5,.482,15.8,24.4,.287
202,203,New Hampshire,19,10,9,.526,-8.20,-6.70,9,6,5,6,5,3,1278,1266,765,434,1011,.429,122,355,.344,276,386,.715,139,665,182,101,68,237,358,67.7,97.8,.382,.351,.530,48.5,41.9,7.8,9.5,.490,16.6,21.7,.273
203,204,New Mexico State,20,12,8,.600,-1.21,-5.09,7,6,4,2,5,5,1422,1283,800,452,1051,.430,124,383,.324,255,358,.712,154,609,231,94,42,257,360,66.5,96.5,.341,.364,.525,45.8,51.1,7.1,7.0,.489,17.4,24.0,.243
204,205,New Mexico,22,6,16,.273,-12.38,-1.73,1,8,0,0,3,8,1436,1578,890,557,1255,.444,180,528,.341,284,414,.686,213,771,319,177,67,299,399,69.2,102.5,.330,.421,.544,47.9,57.3,11.5,7.3,.516,17.1,28.0,.226
205,206,New Orleans,25,10,15,.400,-10.91,-9.74,8,7,6,3,2,10,1899,1910,1010,684,1511,.453,159,499,.319,383,559,.685,293,887,336,209,94,393,446,74.4,101.6,.370,.330,.538,50.2,49.1,11.1,8.9,.505,18.1,31.6,.253
206,207,Niagara,20,9,11,.450,-7.54,-6.99,7,9,5,3,3,7,1293,1304,800,453,1067,.425,150,442,.339,248,347,.715,186,722,276,93,65,264,369,65.6,99.3,.325,.414,.529,53.4,60.9,7.1,9.4,.495,17.6,28.4,.232
207,208,Nicholls State,25,18,7,.720,-5.21,-8.71,14,2,8,1,7,5,1960,1831,1010,644,1503,.428,186,538,.346,357,512,.697,261,946,317,144,67,395,428,74.4,97.5,.341,.358,.524,49.8,49.2,7.7,6.7,.490,18.4,27.8,.238
208,209,NJIT,19,7,12,.368,-9.75,-5.70,6,10,3,5,4,6,1256,1333,770,494,1065,.464,127,383,.332,218,313,.696,175,707,241,88,65,274,363,68.1,101.7,.294,.360,.549,54.3,48.8,6.7,9.3,.523,18.4,29.0,.205
209,210,Norfolk State NCAA,25,17,8,.680,-6.16,-8.51,8,4,7,4,6,3,1839,1742,1005,573,1419,.404,203,642,.316,393,561,.701,263,922,317,140,94,384,476,72.0,96.3,.395,.452,.517,50.4,55.3,7.7,9.9,.475,18.6,28.5,.277
210,211,North Alabama,24,13,11,.542,-10.05,-6.30,7,8,8,4,3,6,1756,1666,970,577,1378,.419,199,583,.341,313,454,.689,206,840,253,140,70,341,417,71.3,96.4,.329,.423,.523,47.3,43.8,8.1,7.9,.491,17.6,23.4,.227
211,212,UNC Asheville,20,10,10,.500,-6.99,-7.59,9,5,6,4,4,6,1468,1456,815,533,1192,.447,120,370,.324,270,385,.701,240,748,239,130,82,280,329,69.9,102.2,.323,.310,.530,52.8,44.8,9.1,11.7,.497,16.9,33.2,.227
212,213,North Carolina A&T,21,11,10,.524,-14.27,-8.06,7,1,5,4,5,6,1517,1523,845,550,1264,.435,170,488,.348,253,377,.671,256,849,330,123,84,392,402,74.3,97.0,.298,.386,.528,53.6,60.0,7.8,10.0,.502,21.4,33.5,.200
213,214,North Carolina Central,14,5,9,.357,-15.99,-8.76,3,5,4,2,0,6,942,1003,565,346,771,.449,94,275,.342,217,299,.726,150,522,201,91,46,215,256,69.7,101.9,.388,.357,.549,53.3,58.1,9.2,9.0,.510,19.1,31.4,.281
214,215,UNC Greensboro NCAA,30,21,9,.700,3.48,-2.15,13,5,7,3,10,3,2189,2020,1205,689,1653,.417,215,684,.314,427,604,.707,267,1091,344,146,83,446,477,70.5,95.1,.365,.414,.521,48.2,49.9,6.9,7.0,.482,18.7,25.1,.258
