,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
271,272,Santa Clara,31,16,15,.516,-1.91,0.92,8,8,11,6,4,6,2115,2172,1255,735,1653,.445,239,663,.360,406,567,.716,242,1026,416,146,111,433,597,67.4,100.0,.343,.401,.550,49.2,56.6,6.9,9.5,.517,18.4,24.3,.246
272,273,Savannah State,31,11,20,.355,-20.51,-9.04,8,8,6,5,4,14,2360,2694,1245,825,2080,.397,351,1199,.293,359,531,.676,383,1188,462,234,96,478,564,78.1,97.0,.255,.576,.506,46.2,56.0,9.6,7.9,.481,17.0,28.2,.173
273,274,Seattle,33,18,15,.545,-1.47,-3.85,6,10,12,6,4,8,2420,2283,1330,852,1945,.438,238,642,.371,478,668,.716,336,1221,386,141,118,403,657,69.7,104.4,.343,.330,.535,52.3,45.3,6.1,9.3,.499,15.1,29.5,.246
274,275,Seton Hall NCAA,34,20,14,.588,10.25,8.34,9,9,11,4,3,8,2508,2443,1375,888,2021,.439,240,741,.324,492,697,.706,361,1213,459,235,132,423,638,70.1,104.1,.345,.367,.533,50.0,51.7,9.8,11.2,.499,15.2,29.6,.243
275,276,Siena,33,17,16,.515,-7.90,-6.47,11,7,7,7,8,7,2131,2178,1345,772,1779,.434,288,849,.339,299,440,.680,248,973,415,190,93,321,462,61.5,103.1,.247,.477,.536,46.8,53.8,9.2,8.3,.515,13.9,23.2,.168
276,277,South Alabama,34,17,17,.500,-4.46,-2.71,8,10,13,6,3,10,2478,2465,1375,867,1883,.460,285,761,.375,459,669,.686,288,1094,471,201,141,456,649,68.9,104.6,.355,.404,.563,47.6,54.3,8.5,11.5,.536,17.2,25.6,.244
277,278,South Carolina State,34,8,26,.235,-16.86,-8.30,5,11,5,6,2,19,2388,2593,1375,811,1891,.429,193,582,.332,573,772,.742,376,1137,386,167,60,493,670,69.2,100.3,.408,.308,.529,50.6,47.6,7.0,5.4,.480,17.9,32.2,.303
278,279,South Carolina Upstate,32,6,26,.188,-15.30,-4.27,1,16,5,9,1,15,2169,2395,1290,775,1872,.414,269,817,.329,350,492,.711,305,1051,434,207,94,440,621,69.4,96.9,.263,.436,.515,46.7,56.0,9.2,8.1,.486,17.3,26.2,.187
279,280,South Carolina,32,16,16,.500,8.34,9.63,11,7,11,6,4,8,2327,2316,1285,806,1907,.423,242,662,.366,473,694,.682,383,1160,413,202,140,433,623,71.2,101.7,.364,.347,.520,49.9,51.2,8.8,12.7,.486,16.2,32.0,.248
280,281,South Dakota State,33,24,9,.727,5.92,-4.74,14,2,14,1,7,6,2789,2425,1320,984,1965,.501,327,802,.408,494,635,.778,251,1259,489,202,65,388,557,72.8,116.1,.323,.408,.615,53.3,49.7,8.4,6.0,.584,14.6,23.7,.251
281,282,South Dakota,30,13,17,.433,-5.52,-3.06,7,9,8,6,4,8,2118,2136,1205,729,1664,.438,227,666,.341,433,585,.740,219,942,382,165,68,324,527,68.1,103.3,.352,.400,.545,47.9,52.4,8.0,6.4,.506,14.3,22.0,.260
282,283,South Florida,38,24,14,.632,5.96,1.69,8,10,18,5,5,7,2752,2553,1555,911,2120,.430,272,819,.332,658,1018,.646,496,1483,521,306,124,604,790,69.5,101.9,.480,.386,.529,54.7,57.2,11.3,9.7,.494,18.8,35.7,.310
283,284,Southeast Missouri State,31,10,21,.323,-11.32,-4.39,5,13,6,8,2,13,2216,2378,1265,796,1809,.440,266,719,.370,358,519,.690,284,1081,402,182,75,447,615,70.2,99.8,.287,.397,.539,48.8,50.5,8.2,6.9,.514,17.9,25.7,.198
284,285,Southeastern Louisiana,33,17,16,.515,-7.59,-6.30,12,6,9,5,7,9,2224,2228,1320,765,1735,.441,235,696,.338,459,640,.717,346,1117,452,215,80,536,602,67.6,99.6,.369,.401,.545,52.2,59.1,9.6,7.1,.509,20.8,32.5,.265
285,286,Southern California,33,16,17,.485,8.23,4.96,8,10,12,5,2,9,2518,2410,1340,937,2039,.460,281,735,.382,363,563,.645,324,1188,536,202,117,392,590,71.0,105.8,.276,.360,.546,48.7,57.2,8.5,9.4,.528,14.5,26.9,.178
286,287,SIU Edwardsville,31,10,21,.323,-14.47,-5.06,6,12,7,8,2,11,2265,2520,1280,794,1898,.418,201,665,.302,476,677,.703,351,1079,382,198,70,438,612,71.9,98.4,.357,.350,.510,48.2,48.1,8.6,6.1,.471,16.5,28.7,.251
287,288,Southern Illinois,32,17,15,.531,1.39,-0.17,10,8,9,6,7,7,2194,2144,1280,802,1720,.466,213,570,.374,377,550,.685,289,1081,438,212,129,447,474,66.8,102.7,.320,.331,.554,50.8,54.6,9.9,11.7,.528,18.4,28.6,.219
288,289,Southern Methodist,32,15,17,.469,5.81,4.12,6,12,10,8,3,7,2303,2249,1280,833,1884,.442,263,772,.341,374,523,.715,365,1135,441,189,123,350,515,66.5,108.2,.278,.410,.540,50.9,52.9,8.9,11.3,.512,14.1,32.6,.199
289,290,Southern Mississippi,33,20,13,.606,2.58,-0.83,11,7,11,3,7,7,2392,2160,1330,899,1929,.466,275,712,.386,321,489,.656,274,1178,553,253,110,345,507,67.4,106.8,.253,.369,.553,50.1,61.5,11.3,11.0,.537,13.8,24.3,.166
290,291,Southern Utah,34,17,17,.500,-8.91,-6.22,9,11,11,4,4,12,2573,2566,1380,881,1997,.441,272,799,.340,539,757,.712,282,1250,426,199,114,466,696,73.5,101.5,.379,.400,.546,50.2,48.4,7.9,9.1,.509,16.5,23.2,.270
291,292,Southern,32,7,25,.219,-16.79,-7.37,6,12,6,5,1,18,2077,2360,1285,752,1710,.440,180,544,.331,393,588,.668,313,980,372,216,86,511,716,68.3,94.6,.344,.318,.522,47.9,49.5,9.8,8.1,.492,20.4,29.4,.230
292,293,St. Bonaventure,34,18,16,.529,3.34,0.25,12,6,9,5,6,7,2250,2145,1385,821,1914,.429,208,635,.328,400,539,.742,333,1183,417,199,164,421,553,65.1,99.8,.282,.332,.518,50.6,50.8,8.8,15.4,.483,16.2,28.9,.209
293,294,St. Francis (NY),33,17,16,.515,-10.19,-8.45,9,9,11,3,6,12,2345,2320,1325,841,1989,.423,270,806,.335,393,580,.678,346,1191,387,194,136,413,635,70.6,100.3,.292,.405,.518,49.1,46.0,8.3,10.6,.491,15.4,27.4,.198
294,295,St. John's (NY) NCAA,34,21,13,.618,7.88,5.50,8,10,11,4,4,7,2623,2542,1375,944,2100,.450,289,809,.357,446,620,.719,264,1120,472,302,111,357,650,72.6,105.0,.295,.385,.548,45.8,50.0,12.1,9.8,.518,13.0,21.4,.212
295,296,Stanford,31,15,16,.484,6.03,5.13,8,10,10,4,4,9,2255,2227,1245,808,1783,.453,207,653,.317,432,643,.672,322,1147,392,186,147,467,586,71.8,100.8,.361,.366,.540,51.4,48.5,8.3,10.7,.511,18.3,29.8,.242
296,297,Stephen F. Austin,30,14,16,.467,-10.99,-5.92,7,11,10,6,3,9,2105,2161,1210,745,1696,.439,201,588,.342,414,607,.682,313,1008,348,192,113,442,579,69.8,99.7,.358,.347,.530,49.0,46.7,9.1,11.9,.499,18.2,30.3,.244
297,298,Stetson,31,7,24,.226,-15.01,-3.46,3,13,7,8,0,16,2151,2429,1245,794,1962,.405,215,684,.314,348,503,.692,359,1110,418,210,94,394,536,71.6,96.5,.256,.349,.489,47.8,52.6,9.4,8.5,.459,15.2,29.0,.177
298,299,Stony Brook,33,24,9,.727,-2.10,-6.48,12,4,10,4,13,4,2364,2188,1335,815,1937,.421,233,715,.326,501,695,.721,410,1348,372,209,142,478,631,69.9,101.4,.359,.369,.521,54.2,45.6,9.0,13.0,.481,17.4,33.4,.259
299,300,Syracuse NCAA,34,20,14,.588,13.73,10.09,10,8,13,6,6,4,2370,2246,1365,808,1907,.424,274,824,.333,480,701,.685,363,1174,408,278,162,423,588,67.2,103.4,.368,.432,.529,48.4,50.5,12.1,16.8,.496,15.9,30.0,.252
300,301,Temple NCAA,33,23,10,.697,8.17,4.93,13,5,13,2,8,5,2465,2358,1340,873,1998,.437,247,748,.330,472,649,.727,316,1136,476,284,73,368,581,70.5,104.4,.325,.374,.534,48.2,54.5,12.0,6.2,.499,13.8,26.1,.236
301,302,Tennessee-Martin,31,12,19,.387,-10.94,-4.32,6,12,10,4,1,14,2356,2486,1250,854,1915,.446,250,726,.344,398,528,.754,351,1062,441,223,88,418,490,71.2,105.9,.276,.379,.544,48.6,51.6,10.0,7.9,.511,16.2,31.3,.208
302,303,Tennessee State,30,9,21,.300,-11.62,-3.15,6,12,6,7,3,14,2182,2332,1210,751,1739,.432,240,716,.335,440,628,.701,317,1032,342,219,78,497,735,73.1,98.6,.361,.412,.536,50.0,45.5,9.9,7.5,.501,19.6,29.3,.253
303,304,Tennessee Tech,31,8,23,.258,-14.76,-3.00,4,14,5,10,3,13,2104,2350,1250,742,1784,.416,213,620,.344,407,645,.631,330,1122,389,226,134,517,554,72.9,92.4,.362,.348,.503,48.3,52.4,9.9,11.1,.476,19.8,28.4,.228
304,305,Tennessee NCAA,37,31,6,.838,21.55,10.16,15,3,18,0,7,3,3035,2580,1505,1106,2231,.496,262,714,.367,561,744,.754,379,1391,660,221,199,412,654,69.4,116.2,.333,.320,.587,52.3,59.7,8.5,15.2,.554,13.7,30.9,.251
305,306,Texas A&M-Corpus Christi,32,14,18,.438,-9.11,-5.68,9,9,9,7,5,9,2126,2124,1290,774,1803,.429,202,621,.325,376,541,.695,349,1158,423,197,90,456,610,67.3,97.9,.300,.344,.516,52.6,54.7,9.1,9.0,.485,18.1,31.4,.209
306,307,Texas A&M,32,14,18,.438,7.21,8.59,6,12,9,8,3,7,2253,2297,1280,806,1842,.438,204,663,.308,437,631,.693,372,1195,376,215,142,444,521,69.4,101.5,.343,.360,.526,50.7,46.7,9.7,12.7,.493,17.2,32.7,.237
307,308,UT Arlington,33,17,16,.515,-0.50,0.84,12,6,9,5,7,10,2284,2303,1345,781,1908,.409,234,773,.303,488,659,.741,372,1235,421,211,97,467,630,69.0,98.5,.345,.405,.514,51.6,53.9,9.1,8.3,.471,17.4,31.0,.256
308,309,TCU,37,23,14,.622,13.81,9.60,7,11,15,5,3,7,2730,2574,1500,990,2168,.457,281,813,.346,469,688,.682,395,1347,598,255,162,499,586,69.4,104.9,.317,.375,.547,51.7,60.4,9.8,11.5,.521,16.7,30.9,.216
309,310,UTEP,29,8,21,.276,-8.23,-1.71,3,15,8,8,0,13,1859,2001,1170,639,1592,.401,199,620,.321,382,578,.661,285,1070,307,135,84,466,551,70.0,90.9,.363,.389,.498,50.4,48.0,6.6,7.9,.464,20.0,27.3,.240
310,311,Texas-Rio Grande Valley,37,20,17,.541,-2.04,-1.61,9,7,11,9,8,7,2634,2623,1490,895,2139,.418,203,636,.319,641,923,.694,358,1215,503,345,105,471,763,71.9,98.4,.432,.297,.511,45.8,56.2,12.9,8.0,.466,15.5,25.9,.300
311,312,UTSA,32,17,15,.531,0.69,0.05,11,7,11,4,5,7,2481,2407,1295,896,2068,.433,294,855,.344,395,536,.737,323,1216,420,213,82,402,581,74.0,103.5,.259,.413,.534,49.2,46.9,8.9,6.9,.504,14.8,25.8,.191
312,313,Texas Southern,38,24,14,.632,-5.55,-6.99,14,4,10,2,13,11,3102,3008,1550,1083,2379,.455,276,852,.324,660,988,.668,467,1503,591,309,114,589,679,76.3,104.9,.415,.358,.545,50.7,54.6,10.4,7.3,.513,17.1,31.6,.277
313,314,Texas State,34,24,10,.706,1.54,-3.00,12,6,11,4,10,5,2470,2204,1370,876,1971,.444,244,744,.328,474,694,.683,409,1291,493,234,84,455,667,68.5,105.3,.352,.377,.537,54.3,56.3,10.0,7.7,.506,16.5,33.7,.240
314,315,Texas Tech NCAA,38,31,7,.816,22.79,9.53,14,4,17,1,6,3,2765,2261,1530,990,2110,.469,277,759,.365,508,694,.732,315,1297,518,278,186,457,663,67.6,106.9,.329,.360,.567,50.8,52.3,10.7,15.4,.535,15.8,26.3,.241
