School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Texas A&M,40,27,13,.675,12.93,7.42,9,9,16,4,5,5,2908,2643,1620,924,2230,.414,270,853,.317,525,731,.718,465,1392,595,289,188,675,704,68.6,95.2,.328,.383,.513,49.5,64.4,10.4,12.2,.475,20.8,33.2,.235
UT Arlington,29,11,18,.379,-5.49,-0.94,7,10,8,4,3,13,1948,1993,1200,694,1680,.413,236,668,.353,369,524,.704,338,1062,452,204,88,402,480,66.5,99.8,.312,.398,.517,49.9,65.1,10.2,7.9,.483,17.2,31.6,.220
TCU,34,21,13,.618,13.72,10.16,8,10,12,4,4,6,2328,2207,1370,814,1937,.420,209,676,.309,370,522,.709,313,1040,441,243,115,428,549,67.2,95.8,.269,.349,.505,44.0,54.2,10.6,8.6,.474,16.4,26.1,.191
UTEP,34,20,14,.588,0.27,-0.48,11,7,12,6,7,6,2352,2265,1370,808,1832,.441,205,613,.334,444,692,.642,333,1230,405,190,74,498,527,67.9,97.3,.378,.335,.524,52.9,50.1,8.2,6.1,.497,18.7,28.9,.242
Texas-Rio Grande Valley,31,8,23,.258,-10.18,-1.28,3,15,4,9,3,12,2212,2438,1240,857,1920,.446,242,755,.321,480,692,.694,389,1199,519,216,101,408,639,73.2,107.5,.360,.393,.542,52.8,60.6,9.5,9.4,.509,15.4,32.7,.250
UTSA,32,10,22,.313,-10.46,-1.49,3,15,8,10,1,11,2153,2313,1285,840,1841,.456,256,713,.359,377,588,.641,280,1182,476,218,121,397,505,70.0,102.8,.319,.387,.545,49.1,56.7,9.7,9.1,.526,15.8,25.5,.205
Texas Southern,32,19,13,.594,-3.30,-6.24,13,5,7,2,8,10,2209,2115,1285,752,1885,.399,204,670,.304,407,629,.647,341,1111,365,258,81,388,590,69.7,94.4,.334,.355,.484,46.8,48.5,11.5,6.3,.453,15.1,27.9,.216
Texas State,29,21,8,.724,0.14,-2.86,12,3,12,1,7,6,2043,1834,1165,636,1512,.421,197,588,.335,365,512,.713,270,902,341,167,81,428,500,65.6,96.1,.339,.389,.522,48.1,53.6,8.7,7.3,.486,19.6,28.4,.241
Texas Tech,37,27,10,.730,20.08,8.65,12,6,18,0,3,7,2667,2244,1495,763,1977,.386,283,898,.315,435,630,.690,334,1121,409,250,99,585,674,67.3,89.2,.319,.454,.493,45.4,53.6,9.9,7.3,.458,20.4,25.9,.220
Texas,34,22,12,.647,17.01,8.87,10,8,16,3,4,7,2339,2062,1370,712,1708,.417,183,573,.319,455,668,.681,327,1095,314,196,111,507,609,64.5,93.3,.391,.335,.509,49.2,44.1,8.9,9.2,.470,20.0,29.6,.266
Toledo,34,26,8,.765,6.26,-3.22,17,3,13,2,9,5,2717,2334,1360,867,2146,.404,273,889,.307,327,488,.670,365,1196,432,174,158,375,561,70.3,97.7,.227,.414,.491,46.8,49.8,7.3,10.8,.468,13.6,26.8,.152
Towson,34,25,9,.735,6.47,-2.15,15,3,12,2,11,5,2478,2185,1365,762,1840,.414,240,762,.315,421,587,.717,299,1035,350,161,105,438,593,66.2,96.7,.319,.414,.516,45.5,45.9,7.1,8.8,.479,17.1,26.2,.229
Troy,32,20,12,.625,-3.56,-3.52,10,6,10,3,8,6,2214,2100,1290,737,1782,.414,218,662,.329,408,579,.705,302,1073,379,263,114,475,553,69.1,94.2,.325,.371,.510,47.5,51.4,11.8,10.6,.475,18.8,26.7,.229
Tulane,29,14,15,.483,6.74,5.33,10,8,9,4,3,8,2121,2080,1175,729,1741,.419,269,788,.341,353,496,.712,351,1136,476,150,127,414,470,69.3,102.1,.285,.453,.526,55.3,65.3,7.4,12.5,.496,17.3,32.7,.203
Tulsa,31,11,20,.355,1.56,4.07,4,14,8,8,1,10,2089,2167,1240,768,1741,.441,282,778,.362,349,505,.691,316,1079,420,222,120,420,520,67.3,103.8,.290,.447,.547,51.6,54.7,10.6,10.9,.522,17.5,30.1,.200
UCLA,35,27,8,.771,19.30,8.36,15,5,14,1,8,4,2639,2256,1425,809,1948,.415,238,742,.321,400,551,.726,300,1161,406,156,111,460,593,66.5,95.3,.283,.381,.510,47.5,50.2,6.6,7.5,.476,17.2,25.3,.205
Utah State,34,18,16,.529,10.41,4.53,8,10,9,7,4,7,2497,2273,1380,818,1905,.429,251,737,.341,386,545,.708,266,1067,451,211,103,420,570,67.3,97.9,.286,.387,.525,47.0,55.1,9.1,8.9,.495,16.3,22.5,.203
Utah Valley,32,20,12,.625,2.37,-1.60,10,8,11,2,6,9,2279,2084,1305,760,1930,.394,205,722,.284,359,529,.679,313,1027,389,247,101,357,633,68.2,93.7,.274,.374,.478,44.2,51.2,11.1,8.4,.447,14.1,24.9,.186
Utah,31,11,20,.355,5.45,6.61,4,16,7,9,2,9,2161,2197,1250,806,1848,.436,213,648,.329,372,528,.705,329,1116,407,193,113,320,520,67.2,104.6,.286,.351,.523,49.8,50.5,9.2,10.4,.494,13.2,29.2,.201
Valparaiso,32,14,18,.438,-1.61,0.83,6,12,8,8,3,8,2264,2257,1320,853,1872,.456,242,684,.354,309,416,.743,216,1069,430,186,97,366,452,67.4,101.5,.222,.365,.545,50.8,50.4,8.4,8.6,.520,15.0,20.1,.165
Vanderbilt,36,19,17,.528,11.00,8.05,7,11,11,8,5,8,2548,2442,1450,851,1996,.426,234,777,.301,506,696,.727,340,1257,471,230,137,516,704,68.9,97.8,.349,.389,.525,50.4,55.3,9.2,12.6,.485,18.2,27.7,.254
Vermont,34,28,6,.824,7.81,-5.70,17,1,16,0,10,4,2544,2065,1365,765,1864,.410,241,701,.344,294,425,.692,216,988,335,164,96,377,550,65.1,92.9,.228,.376,.500,45.3,43.8,7.4,8.8,.475,15.4,18.6,.158
Villanova,38,30,8,.789,19.31,10.29,16,4,12,1,8,5,2726,2383,1525,861,2111,.408,274,891,.308,387,527,.734,378,1243,430,180,128,447,620,63.6,98.3,.250,.422,.505,48.5,49.9,7.4,11.2,.473,15.9,28.9,.183
Virginia Commonwealth,32,22,10,.688,9.83,5.17,14,4,12,4,9,3,2146,1997,1285,679,1722,.394,172,618,.278,467,660,.708,364,1102,366,250,85,544,552,68.6,90.6,.383,.359,.491,51.4,53.9,11.3,7.1,.444,21.1,32.0,.271
VMI,32,16,16,.500,-2.47,-2.05,9,9,9,4,6,9,2529,2375,1295,843,2031,.415,319,946,.337,370,498,.743,357,1175,399,221,97,332,482,69.2,106.0,.245,.466,.524,50.3,47.3,9.9,11.3,.494,12.8,28.4,.182
Virginia Tech,36,23,13,.639,14.48,6.48,11,9,11,4,7,6,2549,2261,1445,831,1933,.430,230,713,.323,369,495,.745,301,1091,424,228,109,429,535,63.6,98.4,.256,.369,.521,48.6,51.0,9.9,9.3,.489,16.5,26.2,.191
Virginia,35,21,14,.600,8.88,6.60,12,8,11,7,7,6,2184,2104,1405,783,1842,.425,232,691,.336,306,430,.712,322,1101,406,191,125,385,499,59.9,99.9,.233,.375,.514,50.1,51.9,9.1,9.8,.488,15.8,28.8,.166
Wagner,27,21,6,.778,-1.12,-9.01,13,3,12,1,9,5,2010,1747,1100,600,1438,.417,168,568,.296,379,566,.670,251,871,312,168,80,419,477,68.3,93.0,.394,.395,.512,46.4,52.0,8.9,7.1,.476,19.7,26.7,.264
Wake Forest,35,25,10,.714,13.24,4.75,13,7,18,2,5,6,2749,2452,1420,880,2129,.413,252,782,.322,440,626,.703,346,1180,430,278,91,445,630,71.2,97.0,.294,.367,.505,47.8,48.9,11.0,7.8,.473,15.5,26.1,.207
Washington State,37,22,15,.595,12.57,5.97,11,9,13,7,8,5,2644,2400,1485,859,2068,.415,221,722,.306,461,627,.735,382,1303,413,180,113,512,660,67.4,95.9,.303,.349,.507,48.6,48.1,7.2,9.0,.469,17.8,29.5,.223
Washington,32,17,15,.531,5.03,6.72,11,9,11,6,3,7,2260,2314,1295,842,1903,.442,217,648,.335,413,574,.720,394,1243,457,169,123,503,619,70.4,101.5,.302,.341,.532,53.8,54.3,7.4,9.5,.499,18.8,35.5,.217
Weber State,33,21,12,.636,-1.73,-5.21,13,7,9,6,8,5,2513,2319,1325,844,1919,.440,278,756,.368,353,488,.723,270,1101,430,176,58,482,631,71.1,98.5,.254,.394,.539,51.0,50.9,7.5,5.0,.512,18.3,24.3,.184
West Virginia,33,16,17,.485,10.23,10.74,4,14,12,5,1,10,2259,2276,1320,809,1814,.446,217,669,.324,441,619,.712,359,1190,430,228,94,508,630,68.5,100.7,.341,.369,.540,52.8,53.2,10.1,7.5,.506,19.4,33.6,.243
Western Carolina,32,11,21,.344,-10.48,-1.90,5,13,8,5,2,14,2261,2472,1295,871,1960,.444,316,885,.357,414,575,.720,319,1200,461,201,109,324,513,69.3,110.2,.293,.452,.553,50.0,52.9,9.0,11.4,.525,12.7,27.7,.211
Western Illinois,32,16,16,.500,-6.34,-5.51,7,11,9,6,7,9,2493,2470,1300,890,1920,.464,237,636,.373,453,583,.777,236,1131,398,171,95,399,608,72.4,105.0,.304,.331,.562,48.3,44.7,7.3,7.8,.525,15.4,21.7,.236
Western Kentucky,32,19,13,.594,3.30,0.23,11,7,13,4,5,6,2414,2214,1280,842,2017,.417,304,891,.341,226,319,.708,358,1187,499,209,91,460,522,71.0,97.5,.158,.442,.510,51.2,59.3,9.2,7.6,.493,17.5,29.4,.112
Western Michigan,31,8,23,.258,-13.51,-2.30,4,16,4,10,2,13,2027,2329,1255,846,1842,.459,244,739,.330,393,558,.704,335,1115,414,222,118,318,452,66.5,111.5,.303,.401,.553,52.1,48.9,10.6,12.4,.526,13.1,31.1,.213
Wichita State,28,15,13,.536,8.11,6.00,6,9,11,6,3,5,1917,1858,1135,664,1602,.414,186,589,.316,344,486,.708,278,976,347,188,106,387,461,67.8,96.6,.303,.368,.507,48.5,52.3,9.8,11.1,.473,17.4,28.3,.215
William & Mary,32,5,27,.156,-13.91,-1.88,4,14,4,10,1,14,2044,2380,1295,878,1907,.460,264,788,.335,360,513,.702,294,1143,459,291,154,408,523,69.9,105.2,.269,.413,.553,50.3,52.3,12.9,14.0,.530,15.9,26.5,.189
Winthrop,32,23,9,.719,-1.56,-3.63,14,2,13,0,7,7,2407,2246,1295,784,1820,.431,258,738,.350,420,596,.705,289,1012,351,234,81,434,609,69.3,100.1,.327,.405,.534,48.0,44.8,10.4,8.2,.502,17.1,25.8,.231
Wisconsin,33,25,8,.758,13.13,9.16,15,5,12,4,9,2,2308,2177,1320,813,1870,.435,204,628,.325,347,508,.683,274,1151,381,155,109,377,624,67.0,98.5,.272,.336,.516,49.9,46.9,7.0,8.8,.489,15.2,24.4,.186
Wofford,32,19,13,.594,2.01,-1.55,10,8,11,4,7,8,2322,2120,1285,747,1665,.449,275,767,.359,351,474,.741,199,885,368,196,78,424,533,65.6,100.6,.285,.461,.561,47.0,49.3,9.3,8.6,.531,18.3,21.5,.211
Wright State,36,22,14,.611,-1.94,-5.11,15,7,12,3,7,7,2729,2585,1440,972,2149,.452,247,743,.332,394,551,.715,366,1212,403,265,105,469,644,70.0,102.6,.256,.346,.536,49.1,41.5,10.5,7.3,.510,16.3,29.4,.183
Wyoming,34,25,9,.735,9.36,3.60,13,5,14,1,8,5,2466,2227,1380,825,1992,.414,230,761,.302,347,481,.721,297,1117,349,176,90,364,655,66.3,97.3,.241,.382,.501,48.0,42.3,7.7,8.5,.472,14.1,24.2,.174
Xavier,36,23,13,.639,13.23,8.34,8,11,16,5,4,6,2668,2492,1460,912,2150,.424,253,786,.322,415,556,.746,340,1237,443,244,125,457,644,69.1,98.8,.259,.366,.516,48.1,48.6,9.7,9.2,.483,15.9,26.1,.193
Yale,31,19,12,.613,-0.10,-1.34,11,3,10,3,6,6,2226,2143,1245,761,1798,.423,227,744,.305,394,572,.689,298,1102,369,226,110,408,542,70.3,98.0,.318,.414,.518,49.8,48.5,10.3,9.5,.486,16.5,26.3,.219
Youngstown State,34,19,15,.559,-6.28,-7.12,12,9,13,7,6,8,2470,2374,1365,865,1964,.440,239,703,.340,405,563,.719,320,1107,426,201,106,401,589,67.6,103.0,.287,.358,.532,48.4,49.2,8.7,8.7,.501,15.2,27.8,.206
