School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Hawaii,31,18,13,0.581,-1.3,-3.61,9,7,12,5,4,5,72.29032258064517,68.74193548387096,1250,25.419354838709676,56.32258064516129,0.451,8.580645161290322,24.225806451612904,0.354,12.870967741935484,18.580645161290324,0.693,25.032258064516128,8.96774193548387,34.0,15.419354838709678,5.032258064516129,2.129032258064516,11.870967741935484,17.93548387096774,67.6,106.1,0.33,0.43,0.555,51.1,60.7,7.4,5.8,0.527,15.4,26.8,0.229,,,
High Point,31,16,15,0.516,-5.63,-4.39,9,7,9,4,5,8,68.2258064516129,67.90322580645162,1255,24.612903225806452,55.45161290322581,0.444,5.806451612903226,18.806451612903224,0.309,13.193548387096774,19.516129032258064,0.676,26.451612903225808,11.709677419354838,38.16129032258065,13.03225806451613,5.483870967741935,2.935483870967742,13.096774193548388,16.193548387096776,65.5,103.0,0.352,0.339,0.527,55.0,52.9,8.3,9.8,0.496,16.8,34.2,0.238,,,
Hofstra,35,27,8,0.771,4.68,-4.53,15,3,15,1,10,6,83.4,72.94285714285714,1440,28.514285714285716,58.714285714285715,0.486,8.8,22.857142857142858,0.385,17.571428571428573,21.914285714285715,0.802,24.714285714285715,8.714285714285714,33.42857142857143,14.057142857142857,6.514285714285714,3.4857142857142858,9.771428571428572,15.028571428571428,68.3,118.8,0.373,0.389,0.603,50.3,49.3,9.3,9.2,0.561,12.4,27.7,0.299,,,
Holy Cross,33,16,17,0.485,-6.43,-4.01,6,12,8,6,6,11,67.15151515151516,69.57575757575758,1335,25.696969696969695,55.57575757575758,0.462,7.181818181818182,20.303030303030305,0.354,8.575757575757576,12.848484848484848,0.667,21.09090909090909,6.666666666666667,27.757575757575758,15.545454545454545,7.303030303030303,3.8484848484848486,10.606060606060606,14.606060606060606,65.0,102.1,0.231,0.365,0.544,43.5,60.5,11.1,12.4,0.527,14.7,20.5,0.154,,,
Houston,37,33,4,0.892,18.91,4.61,16,2,19,1,10,1,75.32432432432432,61.027027027027025,1480,26.54054054054054,59.54054054054054,0.446,9.0,25.37837837837838,0.355,13.243243243243244,18.83783783783784,0.703,28.486486486486488,12.108108108108109,40.5945945945946,14.81081081081081,6.486486486486487,4.351351351351352,11.08108108108108,19.054054054054053,67.3,111.8,0.316,0.426,0.55,54.9,55.8,9.6,13.4,0.521,13.9,33.8,0.222,3.0,S16,MIDWEST
Houston Christian,30,12,18,0.4,-9.36,-5.53,8,10,9,4,3,13,82.16666666666667,82.8,1225,28.833333333333332,63.2,0.456,6.666666666666667,19.6,0.34,17.833333333333332,26.433333333333334,0.675,24.433333333333334,13.633333333333333,38.06666666666667,14.966666666666667,7.8,1.8,14.733333333333333,19.766666666666666,75.0,107.3,0.418,0.31,0.542,52.2,51.9,10.2,4.5,0.509,16.3,35.0,0.282,,,
Howard,34,17,17,0.5,-12.3,-9.52,10,6,6,8,9,8,78.94117647058823,78.26470588235294,1370,27.558823529411764,63.61764705882353,0.433,7.176470588235294,19.676470588235293,0.365,16.647058823529413,22.941176470588236,0.726,25.205882352941178,11.647058823529411,36.85294117647059,13.617647058823529,5.823529411764706,4.235294117647059,12.558823529411764,19.176470588235293,74.8,104.8,0.361,0.309,0.53,48.1,49.4,7.7,11.1,0.49,14.4,29.7,0.262,,,
Idaho,32,5,27,0.156,-18.74,-6.19,2,18,4,11,1,13,67.9375,76.875,1285,24.3125,55.125,0.441,7.84375,21.1875,0.37,11.46875,15.84375,0.724,25.09375,8.0625,33.15625,12.46875,4.0625,1.65625,13.53125,18.1875,67.9,99.6,0.287,0.384,0.542,47.7,51.3,6.0,4.8,0.512,17.8,24.2,0.208,,,
Idaho State,30,11,19,0.367,-13.17,-4.81,7,13,6,7,5,11,73.26666666666667,78.96666666666667,1200,25.966666666666665,58.06666666666667,0.447,9.133333333333333,25.066666666666666,0.364,12.2,16.6,0.735,23.333333333333332,9.166666666666666,32.5,12.766666666666667,5.133333333333334,2.933333333333333,12.0,16.566666666666666,68.9,106.3,0.286,0.432,0.555,48.6,49.2,7.4,7.9,0.526,15.4,26.8,0.21,,,
Illinois,33,12,21,0.364,8.95,11.53,7,13,9,6,1,9,72.66666666666667,75.24242424242425,1335,26.12121212121212,60.63636363636363,0.431,7.848484848484849,22.757575757575758,0.345,12.575757575757576,17.90909090909091,0.702,22.424242424242426,10.636363636363637,33.06060606060606,13.515151515151516,7.424242424242424,2.606060606060606,13.181818181818182,21.21212121212121,71.0,101.2,0.295,0.375,0.525,47.6,51.7,10.3,7.3,0.496,16.0,29.0,0.207,,,
Illinois State,33,17,16,0.515,-2.06,0.25,9,9,12,4,2,10,68.39393939393939,70.12121212121212,1330,24.636363636363637,57.18181818181818,0.431,7.393939393939394,22.242424242424242,0.332,11.727272727272727,16.363636363636363,0.717,25.484848484848484,9.030303030303031,34.515151515151516,12.757575757575758,4.909090909090909,3.212121212121212,12.636363636363637,17.484848484848484,67.9,100.0,0.286,0.389,0.526,49.5,51.8,7.2,9.7,0.495,16.3,25.5,0.205,,,
Illinois-Chicago,32,16,16,0.5,-3.15,-1.99,10,8,12,4,4,12,74.71875,74.53125,1295,27.03125,58.84375,0.459,9.46875,26.75,0.354,11.1875,16.40625,0.682,26.09375,8.46875,34.5625,14.9375,6.5625,3.875,14.28125,21.375,71.5,103.2,0.279,0.455,0.561,48.4,55.3,9.1,10.6,0.54,17.6,24.8,0.19,,,
Incarnate Word,31,6,25,0.194,-18.93,-5.11,1,17,5,9,0,14,65.93548387096774,75.96774193548387,1255,22.93548387096774,49.25806451612903,0.466,5.612903225806452,16.387096774193548,0.343,14.451612903225806,17.838709677419356,0.81,20.677419354838708,6.580645161290323,27.258064516129032,11.419354838709678,5.935483870967742,1.7096774193548387,16.258064516129032,19.096774193548388,66.6,97.8,0.362,0.333,0.571,46.7,49.8,8.8,5.2,0.523,22.0,23.6,0.293,,,
