School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Arkansas State,32,16,16,0.5,-2.92,-0.72,8,12,10,7,6,9,70.6875,71.90625,1290,23.4375,53.6875,0.437,5.75,17.03125,0.338,18.0625,25.4375,0.71,23.0625,9.875,32.9375,13.8125,6.875,2.65625,12.96875,20.46875,68.5,102.4,0.474,0.317,0.537,49.3,58.9,10.0,7.6,0.49,16.5,28.8,0.336,,
Arkansas-Pine Bluff,30,4,26,0.133,-21.65,-6.41,3,15,2,8,2,18,53.833333333333336,68.3,1205,19.6,49.43333333333333,0.396,3.7666666666666666,14.3,0.263,10.866666666666667,18.466666666666665,0.588,22.433333333333334,8.9,31.333333333333332,9.6,7.2,3.2333333333333334,17.7,20.566666666666666,67.6,79.3,0.374,0.289,0.462,48.9,49.0,10.6,9.8,0.435,23.3,27.9,0.22,,
Army,30,15,15,0.5,-9.1,-6.68,10,8,9,6,6,9,70.93333333333334,72.03333333333333,1210,27.366666666666667,58.06666666666667,0.471,7.166666666666667,21.5,0.333,9.033333333333333,14.7,0.615,27.166666666666668,6.7,33.86666666666667,16.233333333333334,5.566666666666666,1.6333333333333333,11.8,14.8,69.7,100.9,0.253,0.37,0.545,48.6,59.3,7.9,4.6,0.533,15.4,20.0,0.156,,
Auburn,31,25,6,0.806,15.04,7.39,12,6,16,1,5,5,78.03225806451613,70.38709677419355,1270,26.06451612903226,60.25806451612903,0.433,8.129032258064516,26.580645161290324,0.306,17.774193548387096,26.387096774193548,0.674,27.258064516129032,13.580645161290322,40.83870967741935,12.806451612903226,6.419354838709677,4.870967741935484,12.870967741935484,19.225806451612904,70.4,108.2,0.438,0.441,0.536,53.7,49.1,8.9,12.9,0.5,15.0,35.3,0.295,,
Austin Peay,33,21,12,0.636,-0.98,-4.14,14,4,14,0,5,10,76.33333333333333,71.48484848484848,1325,27.03030303030303,58.878787878787875,0.459,6.757575757575758,19.515151515151516,0.346,15.515151515151516,21.666666666666668,0.716,24.21212121212121,11.818181818181818,36.03030303030303,13.151515151515152,6.606060606060606,3.0303030303030303,12.818181818181818,18.303030303030305,69.9,108.9,0.368,0.331,0.552,52.1,48.7,9.4,8.2,0.516,15.6,33.1,0.264,,
Ball State,31,18,13,0.581,4.12,-1.65,11,7,11,4,5,7,69.51612903225806,62.516129032258064,1240,24.161290322580644,56.58064516129032,0.427,9.129032258064516,27.161290322580644,0.336,12.064516129032258,17.419354838709676,0.693,27.322580645161292,8.774193548387096,36.096774193548384,13.451612903225806,6.645161290322581,3.3870967741935485,13.32258064516129,16.0,69.4,100.2,0.308,0.48,0.536,51.0,55.7,9.6,9.0,0.508,17.0,25.3,0.213,,
Baylor,30,26,4,0.867,20.13,9.13,15,3,14,1,8,2,71.13333333333334,60.13333333333333,1205,25.433333333333334,59.266666666666666,0.429,7.666666666666667,21.866666666666667,0.351,12.6,18.266666666666666,0.69,23.966666666666665,12.9,36.86666666666667,13.766666666666667,8.133333333333333,4.4,11.9,16.966666666666665,66.6,106.4,0.308,0.369,0.523,52.5,54.1,12.2,12.5,0.494,14.9,35.7,0.213,,
Belmont,33,26,7,0.788,4.3,-6.23,15,3,13,1,11,5,79.60606060606061,67.9090909090909,1320,29.87878787878788,62.84848484848485,0.475,9.696969696969697,27.515151515151516,0.352,10.151515151515152,14.242424242424242,0.713,28.545454545454547,8.787878787878787,37.333333333333336,18.303030303030305,7.545454545454546,3.212121212121212,11.878787878787879,15.06060606060606,72.8,109.4,0.227,0.438,0.572,50.5,61.3,10.4,8.0,0.553,14.6,24.9,0.162,,
Bethune-Cookman,30,16,14,0.533,-10.16,-8.98,10,6,10,1,4,13,74.63333333333334,72.23333333333333,1215,26.066666666666666,61.4,0.425,6.133333333333334,19.2,0.319,16.366666666666667,23.366666666666667,0.7,27.366666666666667,11.8,39.166666666666664,12.066666666666666,7.233333333333333,2.966666666666667,15.5,19.7,75.0,98.3,0.381,0.313,0.515,50.5,46.3,9.5,7.5,0.474,17.6,30.6,0.267,,
Binghamton,29,10,19,0.345,-15.03,-4.62,4,12,7,7,3,12,69.44827586206897,76.58620689655173,1165,24.724137931034484,60.3448275862069,0.41,9.586206896551724,28.93103448275862,0.331,10.413793103448276,14.379310344827585,0.724,25.344827586206897,9.586206896551724,34.93103448275862,11.689655172413794,5.206896551724138,3.0344827586206895,12.344827586206897,16.517241379310345,69.4,99.6,0.238,0.479,0.517,47.1,47.3,7.5,7.9,0.489,15.5,25.6,0.173,,
Boise State,32,20,12,0.625,8.59,4.39,11,7,13,2,4,8,75.9375,69.46875,1305,25.90625,57.90625,0.447,8.40625,24.40625,0.344,15.71875,20.9375,0.751,25.875,8.90625,34.78125,13.0,5.6875,1.4375,12.46875,17.21875,70.0,106.5,0.362,0.421,0.56,51.5,50.2,8.0,4.1,0.52,15.5,25.9,0.271,,
Boston College,32,13,19,0.406,1.82,7.86,7,13,8,10,4,8,64.59375,70.625,1285,23.1875,57.625,0.402,7.1875,23.34375,0.308,11.03125,16.75,0.659,23.65625,9.40625,33.0625,12.59375,7.65625,2.5625,13.71875,15.8125,69.6,92.4,0.291,0.405,0.492,46.4,54.3,11.0,7.1,0.465,17.3,25.4,0.191,,
