School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Portland State,32,18,14,0.563,-1.5,-2.43,12,8,11,3,6,11,2518,2412,1280,897,1910,0.47,196,583,0.336,422,587,0.719,365,1139,498,183,112,489,558,72.5,103.9,0.307,0.305,0.551,49.3,55.5,7.9,7.8,0.521,18.3,33.6,0.221,NA,NA
Portland,32,9,23,0.281,-6.53,1.97,1,15,7,9,2,9,2126,2309,1290,834,1921,0.434,264,781,0.338,377,570,0.661,344,1211,498,230,83,427,595,70.5,101.5,0.297,0.407,0.527,54.3,59.7,10.1,7.3,0.503,16.3,30.0,0.196,NA,NA
Presbyterian,32,10,22,0.313,-15.06,-6.93,7,11,7,6,3,14,2155,2346,1290,803,1780,0.451,289,797,0.363,451,639,0.706,294,1065,437,228,106,373,531,67.2,108.3,0.359,0.448,0.563,49.8,54.4,10.5,9.7,0.532,15.2,27.0,0.253,NA,NA
Quinnipiac,30,15,15,0.5,-7.66,-6.53,10,10,9,5,5,9,2088,2122,1200,793,1868,0.425,236,669,0.353,300,440,0.682,289,1040,435,202,96,291,480,68.9,102.6,0.236,0.358,0.511,48.8,54.9,9.8,11.6,0.488,12.3,26.2,0.161,NA,NA
Rice,32,15,17,0.469,-3.09,-0.76,7,11,8,7,5,8,2363,2375,1280,876,1928,0.454,249,761,0.327,374,548,0.682,304,1152,443,197,94,402,566,71.4,104.0,0.284,0.395,0.543,50.3,50.6,8.6,10.3,0.519,15.5,26.4,0.194,NA,NA
Richmond,31,24,7,0.774,11.31,2.76,14,4,14,2,9,3,2335,2070,1250,740,1784,0.415,223,732,0.305,367,539,0.681,300,1100,351,174,95,430,485,69.3,95.6,0.302,0.41,0.507,50.6,47.4,8.0,8.4,0.477,17.4,26.3,0.206,NA,NA
Rider,30,18,12,0.6,-3.09,-5.49,12,8,11,1,5,11,2152,2080,1200,735,1749,0.42,249,767,0.325,361,530,0.681,259,1003,387,201,108,412,594,71.8,96.6,0.303,0.439,0.52,46.6,52.7,9.3,9.4,0.491,17.1,24.0,0.206,NA,NA
Sacramento State,30,16,14,0.533,-2.08,-2.76,8,12,10,4,4,10,1895,1791,1200,629,1510,0.417,143,446,0.321,390,512,0.762,240,929,306,161,85,423,499,64.5,92.6,0.339,0.295,0.511,47.1,48.6,8.3,7.2,0.464,19.4,25.3,0.258,NA,NA
Sacred Heart,33,20,13,0.606,-4.75,-7.4,12,6,9,4,10,8,2420,2291,1320,862,2077,0.415,235,705,0.333,332,482,0.689,361,1128,476,220,118,369,629,69.9,99.3,0.232,0.339,0.497,45.3,55.2,9.5,9.9,0.472,13.8,28.0,0.16,NA,NA
Saint Francis (PA),32,22,10,0.688,-2.05,-6.5,13,5,13,2,8,8,2485,2298,1285,833,1883,0.442,250,743,0.336,382,532,0.718,320,1061,423,181,110,438,584,70.3,101.7,0.283,0.395,0.538,47.8,50.8,8.0,8.1,0.509,17.0,28.5,0.203,NA,NA
