School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Norfolk State,34,19,15,0.559,-7.82,-7.17,11,5,7,4,7,8,2428,2398,1370,788,1845,0.427,247,707,0.349,575,809,0.711,382,1082,414,202,120,423,620,66.0,106.1,0.438,0.383,0.538,47.5,52.5,8.9,9.0,0.494,15.9,33.0,0.312,NA,NA,NA,2014
UNC Asheville,32,17,15,0.531,-6.81,-5.5,10,6,11,2,5,10,2486,2424,1290,838,1918,0.437,215,612,0.351,533,773,0.69,404,1105,442,223,126,384,641,70.2,107.1,0.403,0.319,0.53,47.9,52.7,9.9,10.2,0.493,14.4,33.1,0.278,NA,NA,NA,2014
North Carolina Central,34,28,6,0.824,3.97,-8.03,16,1,14,0,11,5,2513,2023,1380,658,1726,0.381,186,618,0.301,521,753,0.692,382,1080,328,187,143,534,672,64.7,90.6,0.436,0.358,0.485,47.4,49.8,8.4,11.1,0.435,20.4,32.5,0.302,14.0,R64,EAST,2014
UNC Greensboro,32,14,18,0.438,-12.33,-6.12,7,9,9,7,4,8,2267,2373,1290,798,1822,0.438,206,612,0.337,571,812,0.703,319,1122,380,204,96,381,586,70.6,104.3,0.446,0.336,0.537,48.9,47.6,9.0,7.1,0.495,14.7,27.6,0.313,NA,NA,NA,2014
NC State,36,22,14,0.611,9.02,7.44,9,9,13,6,6,6,2561,2504,1460,851,1997,0.426,196,611,0.321,606,851,0.712,453,1266,406,205,124,414,703,64.9,105.7,0.426,0.306,0.521,50.5,47.7,8.7,8.1,0.475,14.7,35.7,0.303,12.0,R64,MIDWEST,2014
UNC Wilmington,32,9,23,0.281,-8.75,-0.78,3,13,6,8,3,14,2018,2221,1300,771,1774,0.435,209,619,0.338,470,719,0.654,374,1204,373,222,127,362,537,64.8,105.5,0.405,0.349,0.525,51.2,48.4,10.5,9.5,0.494,14.6,33.0,0.265,NA,NA,NA,2014
North Carolina,34,24,10,0.706,15.24,8.42,13,5,15,3,6,5,2604,2372,1370,810,1949,0.416,211,665,0.317,541,807,0.67,395,1179,374,202,136,462,717,70.0,98.9,0.414,0.341,0.509,46.6,46.2,8.4,8.4,0.47,16.5,31.3,0.278,6.0,R32,EAST,2014
North Dakota State,33,26,7,0.788,6.31,-0.02,12,2,12,1,10,5,2492,2164,1325,722,1709,0.422,222,599,0.371,498,664,0.75,290,950,368,168,63,381,599,63.9,102.2,0.389,0.35,0.534,46.8,51.0,7.9,4.9,0.487,15.8,27.3,0.291,12.0,R32,WEST,2014
North Dakota,34,17,17,0.5,-6.84,-3.78,12,8,11,3,4,11,2526,2537,1359,870,1776,0.49,170,472,0.36,627,847,0.74,328,1152,395,177,108,499,672,68.8,108.5,0.477,0.266,0.582,51.8,45.4,7.6,8.1,0.538,18.6,32.1,0.353,NA,NA,NA,2014
North Florida,32,16,16,0.5,-7.52,-3.32,10,8,9,5,7,11,2318,2377,1285,851,1861,0.457,182,511,0.356,493,745,0.662,347,1091,374,262,121,350,634,69.2,106.9,0.4,0.275,0.537,48.0,43.9,11.8,10.5,0.506,13.6,30.3,0.265,NA,NA,NA,2014
North Texas,32,16,16,0.5,-4.67,-1.53,6,10,9,7,6,6,2228,2313,1295,794,1843,0.431,197,564,0.349,528,784,0.673,355,1203,355,186,125,397,610,69.7,102.5,0.425,0.306,0.522,50.4,44.7,8.2,9.1,0.484,15.2,30.2,0.286,NA,NA,NA,2014
Northeastern,32,11,21,0.344,-3.11,-0.3,7,9,4,8,4,9,2109,2199,1295,798,1767,0.452,200,539,0.371,403,590,0.683,319,1062,376,214,149,358,637,64.8,104.9,0.334,0.305,0.537,48.7,47.1,10.2,12.3,0.508,14.9,29.7,0.228,NA,NA,NA,2014
Northern Iowa,31,16,15,0.516,5.29,2.85,10,8,11,2,3,10,2256,2149,1250,741,1675,0.442,219,607,0.361,448,625,0.717,284,1047,344,183,88,352,602,65.6,104.9,0.373,0.362,0.545,50.6,46.4,8.9,9.2,0.508,15.1,27.5,0.267,NA,NA,NA,2014
Northern Kentucky,30,9,21,0.3,-10.53,-4.97,5,13,7,7,2,12,2044,2211,1215,737,1569,0.47,200,530,0.377,537,766,0.701,310,1031,343,171,119,329,494,64.3,113.2,0.488,0.338,0.572,52.3,46.5,8.8,12.3,0.533,14.5,32.2,0.342,NA,NA,NA,2014
Northwestern,33,14,19,0.424,4.72,8.57,6,12,8,9,5,7,1964,2091,1330,735,1787,0.411,171,542,0.315,450,680,0.662,364,1224,410,202,135,342,601,62.6,100.5,0.381,0.303,0.495,53.3,55.8,9.7,13.9,0.459,13.9,30.6,0.252,NA,NA,NA,2014
Notre Dame,32,15,17,0.469,8.19,6.78,6,12,13,6,1,9,2303,2258,1305,802,1780,0.451,225,584,0.385,429,571,0.751,318,1044,457,190,114,351,509,64.0,108.1,0.321,0.328,0.55,49.1,57.0,9.1,9.5,0.514,14.6,30.1,0.241,NA,NA,NA,2014
Ohio State,35,25,10,0.714,17.84,8.12,10,8,17,3,5,5,2432,2092,1410,761,1873,0.406,173,591,0.293,397,558,0.711,354,1177,333,144,105,502,676,65.1,91.2,0.298,0.316,0.489,49.8,43.8,6.3,8.3,0.452,19.0,29.6,0.212,6.0,R64,SOUTH,2014
Ohio,37,25,12,0.676,2.7,-1.17,11,7,14,7,10,4,2647,2480,1465,822,1990,0.413,194,616,0.315,585,826,0.708,402,1252,409,242,93,445,632,67.2,100.7,0.415,0.31,0.52,50.0,49.8,9.8,7.4,0.462,15.7,30.9,0.294,NA,NA,NA,2014
Oklahoma State,34,21,13,0.618,19.02,8.34,8,10,13,3,3,7,2728,2365,1391,801,1957,0.409,211,645,0.327,552,803,0.687,409,1262,373,208,123,484,736,69.5,97.8,0.41,0.33,0.506,51.2,46.6,8.6,9.6,0.463,17.1,32.0,0.282,9.0,R64,WEST,2014
Oklahoma,33,23,10,0.697,14.91,8.97,12,6,14,3,5,4,2704,2508,1335,864,1976,0.437,236,690,0.342,544,761,0.715,369,1198,412,195,112,426,689,71.7,104.8,0.385,0.349,0.536,49.1,47.7,8.1,8.7,0.497,15.4,30.4,0.275,5.0,R64,WEST,2014
Old Dominion,36,18,18,0.5,-1.12,-0.81,9,7,12,6,5,9,2311,2322,1450,777,1848,0.42,214,597,0.358,554,825,0.672,374,1208,378,227,143,458,686,64.2,99.8,0.446,0.323,0.518,48.5,48.6,9.8,10.6,0.478,17.0,30.5,0.3,NA,NA,NA,2014
Oral Roberts,33,17,16,0.515,-2.94,-4.43,10,8,9,4,5,11,2357,2287,1330,783,1809,0.433,186,514,0.362,535,768,0.697,349,1074,374,189,104,356,633,65.5,105.1,0.425,0.284,0.526,47.9,47.8,8.7,7.7,0.484,14.1,30.3,0.296,NA,NA,NA,2014
Oregon State,32,16,16,0.5,6.03,5.87,8,10,12,5,3,9,2425,2420,1295,857,1908,0.449,216,587,0.368,490,703,0.697,373,1066,475,204,107,336,690,68.3,109.5,0.368,0.308,0.54,49.3,55.4,9.2,8.6,0.506,13.0,32.2,0.257,NA,NA,NA,2014
