,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
53,Clemson,34,23,11,.676,10.49,3.66,,14,6,,15,2,,5,6,,2540,2308,,68.1,99.0,.307,.408,.511,48.5,49.5,8.2,7.6,.473,14.5,24.3,.226
54,Cleveland State,34,21,13,.618,-1.90,-4.93,,14,6,,13,3,,7,9,,2437,2314,,66.4,101.0,.306,.383,.519,49.6,50.6,9.3,8.8,.482,17.6,34.6,.224
55,Coastal Carolina,31,11,20,.355,-8.81,-1.63,,5,13,,8,8,,3,11,,2273,2294,,69.1,106.3,.275,.454,.536,48.8,55.3,9.5,8.5,.507,14.3,29.9,.197
56,Colgate NCAA,34,26,8,.765,2.20,-6.71,,17,1,,14,2,,11,4,,2672,2345,,68.3,101.0,.201,.365,.536,48.1,54.2,8.7,8.1,.518,16.1,23.8,.138
57,College of Charleston NCAA,34,31,3,.912,8.43,-4.54,,16,2,,17,1,,11,2,,2747,2290,,70.8,94.5,.246,.323,.505,45.5,45.5,8.0,10.9,.481,17.1,25.4,.167
58,Colorado,34,18,16,.529,12.06,8.85,,8,12,,13,4,,2,9,,2376,2267,,69.6,95.9,.321,.343,.511,47.4,46.8,10.3,10.5,.475,17.1,25.2,.229
59,Colorado State,33,15,18,.455,5.96,6.18,,6,12,,9,7,,4,8,,2391,2355,,66.4,106.3,.296,.435,.555,51.9,51.1,8.5,9.7,.524,15.9,27.0,.218
60,Columbia,29,7,22,.241,-14.69,-2.69,,2,12,,6,9,,1,13,,1966,2197,,70.6,106.4,.278,.354,.541,53.4,54.6,9.4,12.2,.516,15.7,32.9,.195
61,Connecticut NCAA,32,24,8,.750,20.81,7.39,,13,7,,15,2,,6,5,,2518,2087,,68.7,95.0,.389,.297,.506,43.3,41.1,9.7,8.4,.456,17.1,26.2,.287
62,Coppin State,32,9,23,.281,-14.64,-3.48,,4,10,,4,6,,5,16,,2304,2661,,73.1,112.0,.342,.414,.564,57.7,58.5,10.1,9.9,.532,15.7,35.7,.247
63,Cornell,28,17,11,.607,0.28,-2.76,,7,7,,11,2,,6,8,,2287,2129,,72.5,104.4,.299,.396,.567,50.0,58.9,8.9,9.8,.541,19.2,28.6,.213
64,Creighton NCAA,33,21,12,.636,17.63,9.47,,14,6,,13,2,,5,6,,2529,2260,,69.4,97.9,.198,.298,.498,47.3,47.1,8.8,8.3,.473,12.7,23.3,.144
65,Dartmouth,28,10,18,.357,-8.20,-2.74,,6,8,,7,5,,3,11,,1998,2027,,70.8,100.9,.299,.348,.532,50.4,44.0,11.7,9.1,.499,15.4,25.5,.217
66,Davidson,32,16,16,.500,2.20,1.68,,8,10,,7,8,,6,6,,2236,2197,,66.1,102.6,.264,.368,.530,51.3,48.8,8.9,11.0,.503,15.2,27.9,.186
67,Dayton,34,22,12,.647,8.93,1.31,,12,6,,14,2,,5,6,,2334,2075,,63.6,95.3,.239,.387,.480,46.2,48.6,9.0,6.9,.450,14.0,27.0,.168
68,Delaware,33,17,16,.515,-5.59,-3.74,,8,10,,10,5,,4,10,,2298,2333,,67.4,104.2,.290,.346,.543,52.4,53.4,9.1,9.2,.513,16.4,29.6,.209
69,Delaware State,30,6,24,.200,-17.73,-4.98,,4,11,,4,8,,2,14,,1939,2265,,69.6,107.6,.381,.423,.578,49.8,61.8,11.2,8.9,.550,17.8,28.3,.264
70,Denver,32,15,17,.469,-9.13,-5.46,,6,12,,9,5,,4,11,,2325,2402,,69.1,107.0,.270,.403,.546,46.9,51.4,9.6,9.2,.514,14.0,27.2,.204
71,DePaul,33,10,23,.303,2.87,8.99,,3,17,,7,8,,2,12,,2349,2551,,69.8,109.0,.357,.347,.550,54.3,51.9,10.2,9.0,.516,15.2,34.1,.254
72,Detroit Mercy,33,14,19,.424,-3.00,-3.40,,9,11,,9,5,,5,13,,2527,2486,,67.8,110.2,.290,.392,.566,47.5,52.2,9.5,7.9,.534,14.9,29.4,.219
73,Drake NCAA,34,27,7,.794,8.20,-1.25,,15,5,,14,1,,6,6,,2561,2173,,67.0,93.4,.263,.381,.497,47.6,43.8,7.6,6.3,.467,15.8,22.3,.184
74,Drexel,32,17,15,.531,-2.26,-5.42,,10,8,,12,3,,3,9,,2135,1997,,64.0,95.6,.240,.284,.500,48.4,47.2,8.9,8.0,.472,16.1,26.9,.169
75,Duke NCAA,34,26,8,.765,15.50,6.91,,14,6,,16,0,,4,6,,2466,2174,,65.7,97.0,.241,.351,.498,44.2,47.9,9.3,9.6,.463,14.6,25.8,.184
76,Duquesne,32,20,12,.625,4.04,0.11,,10,8,,16,4,,3,7,,2394,2268,,69.4,102.2,.351,.339,.534,50.4,52.9,8.3,8.3,.502,17.9,33.2,.243
77,East Carolina,33,16,17,.485,0.11,1.80,,6,12,,10,6,,2,9,,2271,2327,,68.6,102.8,.331,.345,.528,48.5,49.9,9.5,10.5,.492,15.1,28.9,.237
78,East Tennessee State,32,12,20,.375,-5.86,-4.30,,8,10,,7,9,,4,9,,2211,2208,,66.7,103.0,.265,.428,.535,48.7,50.6,10.6,6.2,.505,15.9,29.1,.194
79,Eastern Illinois,31,9,22,.290,-13.72,-6.38,,5,13,,6,9,,3,12,,2134,2235,,70.7,101.5,.321,.426,.537,52.8,59.3,9.2,8.3,.507,18.0,31.3,.224
80,Eastern Kentucky,33,20,13,.606,-2.41,-2.05,,12,6,,14,2,,5,10,,2553,2380,,72.5,99.1,.260,.398,.520,48.3,54.7,9.2,6.7,.487,17.2,29.6,.193
81,Eastern Michigan,31,8,23,.258,-10.76,-1.59,,5,13,,6,7,,2,13,,2239,2505,,70.3,114.0,.350,.415,.582,54.1,46.8,8.9,7.1,.555,15.1,32.5,.246
82,Eastern Washington,33,23,10,.697,1.78,-1.75,,16,2,,11,2,,10,6,,2547,2358,,68.9,103.6,.293,.440,.530,46.1,49.1,9.3,5.9,.494,14.1,25.6,.220
83,Elon,32,8,24,.250,-12.79,-4.32,,6,12,,5,9,,3,12,,2094,2291,,67.0,106.9,.279,.451,.541,51.6,57.2,9.2,9.0,.514,14.8,29.8,.198
84,Evansville,32,5,27,.156,-14.77,-1.18,,1,19,,3,10,,1,14,,1997,2432,,69.8,108.9,.301,.412,.588,54.9,57.9,8.3,7.0,.557,16.9,25.5,.229
85,Fairfield,31,13,18,.419,-6.93,-4.46,,9,11,,7,6,,4,10,,2012,2045,,64.9,100.3,.276,.316,.517,50.4,43.7,9.0,9.6,.486,15.5,29.3,.198
