,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
263,San Diego,31,11,20,.355,-1.67,3.67,,4,12,,8,9,,3,8,,2391,2495,,70.4,113.4,.323,.416,.595,51.2,60.2,7.6,7.8,.578,16.0,29.3,.216
264,San Diego State NCAA,33,27,6,.818,15.67,8.14,,15,3,,15,1,,8,2,,2378,2099,,66.6,94.8,.286,.400,.511,46.7,47.7,9.4,7.9,.475,17.5,25.6,.211
265,San Francisco,34,20,14,.588,6.42,4.06,,7,9,,11,5,,5,6,,2591,2496,,70.4,103.4,.374,.348,.546,48.7,45.0,9.4,8.4,.499,15.9,26.9,.287
266,San Jose State,33,20,13,.606,5.66,5.44,,10,8,,12,3,,5,8,,2228,2199,,63.3,104.1,.287,.357,.522,44.5,51.4,8.0,8.0,.482,11.6,24.1,.222
267,Santa Clara,33,23,10,.697,9.00,5.50,,11,5,,14,5,,6,3,,2538,2413,,71.2,101.5,.246,.386,.531,46.7,50.5,8.9,6.9,.503,14.7,24.0,.180
268,Seattle,32,20,12,.625,1.19,0.95,,11,7,,12,2,,7,7,,2303,2209,,70.8,97.1,.325,.348,.518,48.7,52.1,8.7,10.2,.484,16.5,25.6,.227
269,Seton Hall,33,17,16,.515,10.94,8.44,,10,10,,10,6,,6,7,,2256,2149,,67.8,96.1,.310,.368,.510,49.2,54.5,10.4,12.0,.474,18.4,29.7,.223
270,Siena,32,17,15,.531,-3.39,-4.76,,11,9,,8,5,,7,8,,2195,2151,,66.6,99.8,.330,.280,.527,48.1,43.0,11.3,8.7,.496,16.3,26.8,.226
271,South Alabama,35,19,16,.543,3.65,-0.42,,9,9,,10,4,,4,10,,2483,2282,,66.7,97.4,.278,.286,.496,52.3,41.0,7.9,8.1,.462,14.3,27.7,.199
272,South Carolina,32,11,21,.344,-1.95,6.34,,4,14,,7,8,,4,8,,2059,2324,,65.1,109.8,.294,.363,.549,50.7,54.4,11.1,10.3,.526,13.7,32.5,.198
273,South Carolina State,31,5,26,.161,-16.59,-3.99,,2,12,,4,6,,1,19,,2274,2599,,73.7,112.9,.435,.365,.603,51.2,58.5,10.1,10.1,.571,18.4,33.9,.314
274,South Carolina Upstate,31,16,15,.516,-7.70,-4.11,,10,8,,11,2,,4,12,,2136,2158,,68.4,101.4,.430,.362,.535,52.7,47.4,9.3,7.1,.493,18.1,31.8,.302
275,South Dakota,31,12,19,.387,-9.46,-2.91,,7,11,,8,6,,2,11,,2149,2282,,67.0,110.0,.304,.399,.554,50.5,46.9,9.4,11.0,.523,12.9,26.8,.222
276,South Dakota State,32,19,13,.594,-1.38,-1.64,,13,5,,10,2,,6,9,,2270,2233,,67.9,101.9,.229,.409,.536,51.2,49.4,9.2,9.1,.507,15.5,25.3,.174
277,South Florida,32,14,18,.438,2.29,2.29,,7,11,,9,9,,4,7,,2303,2303,,69.6,103.0,.371,.386,.538,47.6,54.9,9.8,8.1,.498,16.3,27.8,.271
278,Southeast Missouri State NCAA,36,19,17,.528,-7.06,-6.47,,10,8,,9,4,,5,11,,2789,2734,,73.8,101.2,.431,.357,.544,50.8,50.6,9.1,7.5,.506,17.3,27.3,.298
279,Southeastern Louisiana,32,18,14,.563,-7.77,-6.50,,12,6,,10,4,,7,8,,2483,2432,,70.4,105.9,.322,.412,.563,50.6,54.8,8.4,6.9,.539,17.7,29.6,.222
280,Southern,32,15,17,.469,-8.31,-6.24,,11,7,,9,2,,5,12,,2300,2280,,72.9,97.0,.420,.415,.546,52.3,59.7,9.0,10.9,.509,20.9,28.1,.292
281,Southern California NCAA,32,22,10,.688,13.80,8.27,,14,6,,15,2,,5,5,,2329,2152,,68.4,97.9,.298,.374,.490,50.4,56.3,9.9,7.8,.452,15.4,33.0,.214
282,Southern Illinois,33,23,10,.697,1.54,-1.75,,14,6,,13,2,,8,6,,2168,2026,,64.8,94.4,.295,.344,.502,50.6,49.1,9.7,10.3,.477,17.5,26.9,.192
283,SIU Edwardsville,33,19,14,.576,-6.16,-7.23,,9,9,,9,5,,7,8,,2463,2353,,70.7,100.8,.334,.361,.525,48.9,47.4,8.4,7.6,.486,16.8,29.6,.244
284,Southern Indiana,32,16,16,.500,-8.14,-7.21,,9,9,,10,4,,5,11,,2448,2370,,70.8,103.4,.388,.403,.544,46.7,49.0,8.8,11.6,.505,15.8,25.5,.279
285,Southern Methodist,32,10,22,.313,0.35,5.67,,5,13,,7,9,,1,11,,2248,2418,,70.6,105.4,.328,.371,.548,51.8,57.3,9.8,11.9,.518,16.3,30.5,.232
286,Southern Mississippi,33,25,8,.758,3.41,-1.45,,14,4,,15,0,,8,7,,2436,2182,,68.9,95.9,.302,.378,.509,48.2,52.4,9.7,6.8,.475,18.3,29.1,.214
287,Southern Utah,34,22,12,.647,3.83,2.23,,12,6,,13,2,,5,8,,2812,2529,,73.7,99.4,.310,.373,.542,47.2,49.1,8.9,8.7,.511,17.6,24.2,.221
288,St. Bonaventure,32,14,18,.438,-1.11,-0.20,,8,10,,11,4,,2,11,,2136,2165,,66.7,100.7,.409,.394,.529,51.3,56.3,8.9,7.7,.486,17.0,29.4,.292
289,St. Francis (NY),30,14,16,.467,-16.86,-11.54,,7,9,,10,5,,4,11,,1946,2034,,67.1,100.6,.308,.271,.529,50.9,53.5,9.5,8.2,.499,17.5,31.6,.214
290,St. John's (NY),33,18,15,.545,8.52,6.37,,7,13,,12,6,,3,9,,2552,2481,,73.8,100.4,.296,.394,.534,47.1,57.5,11.0,6.9,.502,17.3,27.6,.213
291,St. Thomas,33,19,14,.576,-2.72,-4.27,,9,9,,12,2,,4,11,,2447,2316,,67.0,104.7,.304,.358,.548,51.9,46.5,6.3,11.2,.515,15.6,28.1,.225
292,Stanford,33,14,19,.424,10.09,8.12,,7,13,,9,6,,2,8,,2321,2256,,66.1,103.4,.286,.408,.546,47.8,51.5,9.0,8.1,.515,16.2,26.4,.209
293,Stephen F. Austin,32,19,13,.594,0.96,-0.45,,11,7,,12,4,,6,5,,2427,2238,,70.9,96.8,.410,.371,.538,49.2,60.1,8.5,8.1,.501,21.8,31.0,.285
294,Stetson,30,17,13,.567,-2.51,-2.51,,12,6,,9,3,,7,9,,2298,2200,,65.5,109.6,.282,.377,.554,49.1,51.3,7.7,7.0,.524,13.4,28.0,.209
295,Stonehill,31,14,17,.452,-13.16,-8.90,,10,6,,7,4,,6,12,,2076,2157,,67.5,101.8,.271,.403,.525,53.9,54.6,10.2,9.5,.497,16.9,30.9,.190
296,Stony Brook,33,11,22,.333,-12.42,-4.10,,6,12,,7,7,,3,13,,2083,2279,,65.1,105.8,.253,.437,.526,50.9,53.6,11.1,7.4,.501,12.3,26.8,.177
297,Syracuse,32,17,15,.531,5.28,4.06,,10,10,,11,7,,5,6,,2372,2333,,68.3,105.9,.217,.483,.533,51.0,72.7,9.5,6.6,.512,15.8,33.6,.152
298,Tarleton State,33,17,16,.515,-0.35,2.13,,8,9,,12,2,,2,12,,2376,2236,,69.3,97.4,.435,.438,.561,51.3,57.1,7.1,8.7,.519,23.1,28.8,.315
299,TCU NCAA,33,21,12,.636,16.14,8.87,,9,9,,13,4,,3,7,,2481,2241,,70.8,95.5,.297,.350,.512,49.2,55.9,9.1,10.1,.478,19.0,30.7,.211
300,Temple,32,16,16,.500,5.04,5.66,,10,8,,9,7,,6,6,,2227,2247,,67.1,102.6,.315,.337,.520,49.6,51.7,10.8,9.3,.487,14.3,29.0,.220
301,Tennessee NCAA,33,23,10,.697,21.86,8.10,,11,7,,14,2,,4,6,,2369,1915,,66.2,87.3,.349,.416,.472,45.1,50.1,10.2,8.5,.424,19.3,26.9,.252
302,Tennessee State,32,18,14,.563,-8.70,-8.63,,10,8,,13,4,,4,8,,2499,2401,,72.8,103.0,.400,.366,.547,49.7,48.7,8.7,9.0,.502,16.6,26.8,.298
303,Tennessee Tech,33,16,17,.485,-9.10,-6.06,,11,7,,11,5,,4,11,,2432,2421,,69.3,103.1,.256,.391,.533,51.6,56.8,9.7,9.4,.502,16.1,29.5,.190
304,Tennessee-Martin,33,19,14,.576,-8.37,-7.61,,10,8,,14,2,,4,11,,2658,2489,,73.5,101.4,.327,.404,.519,48.7,54.0,8.5,9.9,.487,15.1,27.6,.224
305,Texas NCAA,34,26,8,.765,21.21,10.77,,12,6,,17,1,,4,6,,2647,2292,,70.4,94.8,.345,.354,.518,50.5,48.3,8.1,8.3,.478,19.9,29.4,.249
306,Texas A&M NCAA,34,25,9,.735,14.72,7.69,,15,3,,15,1,,7,4,,2490,2251,,67.4,98.3,.351,.459,.516,46.5,59.3,10.7,11.2,.479,18.1,30.4,.247
307,Texas A&M-Commerce,32,13,19,.406,-10.84,-7.28,,9,9,,5,6,,7,12,,2299,2355,,67.1,107.5,.385,.349,.559,51.4,50.4,9.5,7.3,.522,15.8,29.9,.279
308,Texas A&M-Corpus Christi NCAA,34,24,10,.706,-2.45,-7.75,,14,4,,14,2,,7,7,,2728,2465,,71.7,100.4,.360,.430,.547,47.2,57.4,9.0,8.2,.518,18.8,27.5,.245
309,Texas Southern NCAA,35,14,21,.400,-10.28,-4.77,,7,11,,7,6,,3,13,,2422,2518,,70.9,99.4,.374,.357,.527,48.6,47.1,10.7,7.8,.487,16.8,27.3,.267
310,Texas State,35,16,19,.457,-2.22,-0.59,,6,12,,4,10,,7,7,,2309,2334,,64.9,102.8,.404,.332,.544,48.5,46.6,9.6,8.1,.505,16.6,27.5,.288
311,Texas Tech,32,16,16,.500,13.00,8.66,,5,13,,11,6,,3,7,,2347,2208,,68.9,99.4,.284,.428,.520,48.3,54.5,10.3,10.2,.489,17.3,30.1,.202
312,Texas-Rio Grande Valley,32,15,17,.469,-6.16,-0.23,,5,12,,12,6,,3,10,,2518,2502,,74.3,104.4,.366,.365,.543,47.6,61.4,10.4,9.4,.502,15.2,27.5,.270
313,The Citadel,32,10,22,.313,-12.01,-3.66,,5,13,,5,9,,4,11,,2158,2374,,68.2,108.8,.336,.418,.550,53.9,51.4,10.4,10.1,.516,14.3,30.6,.243
314,Toledo,36,28,8,.778,6.39,-1.92,,16,2,,13,1,,10,4,,3082,2776,,71.2,108.3,.273,.377,.559,50.0,48.9,7.4,8.6,.529,16.0,31.0,.206
315,Towson,33,21,12,.636,0.28,-4.75,,12,6,,10,2,,8,7,,2368,2202,,65.7,100.5,.295,.399,.523,45.6,50.6,8.4,7.4,.486,15.6,26.7,.222
316,Troy,33,20,13,.606,1.49,-1.15,,11,7,,11,3,,7,8,,2414,2204,,69.2,95.9,.336,.357,.524,49.7,46.4,9.5,8.4,.482,19.6,29.2,.252
317,Tulane,31,20,11,.645,5.86,3.08,,12,6,,12,3,,5,4,,2478,2392,,74.0,102.6,.296,.420,.533,54.5,62.5,8.1,12.4,.504,16.7,30.5,.207
318,Tulsa,30,5,25,.167,-8.01,4.13,,1,17,,4,10,,0,12,,1959,2323,,68.7,111.7,.278,.396,.563,54.8,57.4,10.8,11.1,.536,14.7,33.0,.203
319,UAB,36,26,10,.722,10.43,1.20,,14,6,,16,2,,6,5,,2941,2561,,71.4,97.0,.298,.371,.513,46.1,49.3,9.2,8.5,.477,17.5,28.7,.216
320,UC Davis,32,18,14,.563,0.00,-1.43,,11,8,,10,4,,5,9,,2392,2274,,70.9,99.0,.313,.300,.532,47.0,44.5,9.4,8.8,.501,18.1,27.6,.220
321,UC Irvine,35,23,12,.657,4.45,-0.31,,15,5,,11,4,,9,7,,2617,2352,,70.0,95.6,.359,.356,.500,47.8,50.7,8.4,7.9,.454,15.9,26.0,.262
322,UC Riverside,34,22,12,.647,1.04,-0.02,,14,6,,9,4,,9,7,,2463,2352,,67.4,101.1,.369,.291,.542,46.3,45.8,8.7,8.2,.504,15.8,22.5,.265
323,UC San Diego,30,10,20,.333,-6.66,-0.48,,5,13,,4,10,,6,9,,2057,2189,,67.0,106.3,.272,.358,.542,52.4,55.8,8.7,9.3,.513,14.6,28.5,.198
324,UC Santa Barbara NCAA,34,27,7,.794,3.74,-2.32,,15,5,,12,3,,10,4,,2454,2231,,65.6,99.7,.286,.312,.530,48.5,48.2,7.5,6.1,.495,16.7,25.8,.216
325,UCLA NCAA,34,29,5,.853,22.64,9.02,,18,2,,17,0,,9,2,,2513,2050,,67.3,89.6,.276,.393,.498,47.3,51.4,6.9,6.3,.468,20.8,27.6,.193
326,UNC Asheville NCAA,34,27,7,.794,-1.47,-5.18,,16,2,,13,0,,10,6,,2551,2332,,69.5,97.3,.261,.347,.503,49.2,45.4,9.8,10.6,.472,15.9,28.1,.187
327,UNC Greensboro,32,20,12,.625,1.71,-2.85,,14,4,,11,3,,8,6,,2306,2064,,67.2,95.2,.304,.411,.501,47.4,47.1,8.6,6.6,.470,17.1,26.3,.207
328,UNC Wilmington,34,24,10,.706,-1.19,-3.07,,12,6,,11,3,,8,6,,2343,2187,,65.4,97.2,.365,.367,.523,49.5,39.8,8.6,7.9,.485,18.4,28.0,.256
329,UT Arlington,32,11,21,.344,-4.76,2.34,,6,12,,6,8,,4,9,,2125,2190,,67.6,100.9,.372,.380,.542,48.5,54.1,8.9,8.4,.506,18.4,29.2,.262
330,Utah,32,17,15,.531,11.79,6.98,,10,10,,12,5,,4,7,,2197,2043,,66.5,95.6,.244,.351,.476,47.2,53.5,9.3,10.5,.450,13.1,27.3,.162
331,Utah State NCAA,34,26,8,.765,14.97,7.00,,13,5,,14,2,,6,4,,2671,2370,,69.2,100.4,.303,.334,.518,47.1,47.1,8.0,7.8,.479,14.2,24.6,.226
332,Utah Tech,33,14,19,.424,0.16,1.33,,5,13,,9,5,,3,13,,2495,2420,,70.8,102.8,.347,.373,.561,48.5,53.0,9.9,9.8,.526,18.5,26.3,.254
333,Utah Valley,34,26,8,.765,7.86,1.24,,15,3,,13,1,,11,5,,2624,2320,,72.1,93.6,.290,.326,.471,47.5,45.4,9.1,7.5,.440,14.8,28.5,.192
334,UTEP,32,14,18,.438,-0.97,1.60,,7,13,,11,7,,3,10,,2192,2192,,68.3,97.7,.361,.374,.545,48.3,44.3,11.2,9.0,.509,21.0,28.7,.258
335,UTSA,32,10,22,.313,-8.00,0.90,,4,16,,8,10,,2,11,,2217,2450,,69.5,109.3,.310,.374,.544,51.1,50.8,9.9,13.7,.515,13.6,31.2,.219
336,Valparaiso,32,11,21,.344,-8.38,-2.41,,5,15,,8,7,,2,12,,2206,2355,,68.7,104.7,.311,.374,.545,50.7,52.7,10.0,6.9,.511,14.1,24.6,.228
337,Vanderbilt,35,21,14,.600,9.42,8.77,,11,7,,13,5,,5,6,,2536,2513,,67.1,106.3,.313,.367,.520,50.2,50.3,8.4,7.8,.489,12.9,31.6,.217
338,Vermont NCAA,33,23,10,.697,1.72,-3.72,,14,2,,13,1,,9,6,,2410,2198,,65.6,100.4,.266,.369,.539,50.9,45.3,7.5,8.4,.510,15.8,22.3,.193
339,Villanova,33,17,16,.515,10.53,8.61,,10,10,,10,4,,5,9,,2307,2230,,65.0,103.6,.278,.415,.543,50.9,60.1,8.5,10.5,.507,15.3,25.0,.215
340,Virginia NCAA,32,25,7,.781,13.54,5.97,,15,5,,15,1,,6,5,,2170,1928,,62.4,96.2,.261,.397,.516,50.0,52.9,7.7,11.0,.483,17.4,25.0,.195
341,Virginia Commonwealth NCAA,34,27,7,.794,10.18,1.65,,15,3,,15,3,,8,3,,2429,2139,,68.4,91.9,.305,.341,.504,49.7,51.0,9.5,9.7,.470,20.9,29.8,.214
342,VMI,32,7,25,.219,-16.11,-3.42,,2,16,,6,8,,1,14,,2220,2457,,67.5,112.8,.269,.497,.579,48.9,60.2,9.2,12.7,.558,13.8,26.7,.189
343,Virginia Tech,34,19,15,.559,9.26,5.20,,8,12,,13,4,,2,10,,2521,2383,,66.8,104.5,.252,.356,.532,50.4,47.5,8.4,9.9,.507,14.2,27.7,.179
344,Wagner,28,15,13,.536,-12.10,-11.14,,8,8,,8,4,,7,9,,1766,1727,,63.5,96.3,.465,.362,.534,46.3,53.7,9.3,10.2,.486,18.9,23.8,.332
345,Wake Forest,33,19,14,.576,8.13,5.31,,10,10,,13,3,,4,8,,2528,2435,,70.1,104.5,.267,.386,.543,50.3,46.3,9.9,11.9,.516,15.2,26.6,.192
346,Washington,32,16,16,.500,7.31,8.47,,8,12,,12,6,,2,9,,2213,2250,,69.2,100.1,.254,.370,.501,52.9,60.1,9.9,9.9,.471,15.5,34.6,.180
347,Washington State,34,17,17,.500,10.97,8.35,,11,9,,10,4,,5,8,,2324,2235,,64.8,101.1,.284,.322,.525,47.9,48.2,9.0,8.6,.498,14.7,26.1,.197
348,Weber State,33,18,15,.545,-2.59,-0.98,,12,6,,8,4,,8,8,,2219,2229,,65.7,101.0,.309,.414,.552,50.3,58.3,8.4,9.2,.525,17.5,22.6,.216
349,West Virginia NCAA,33,19,14,.576,16.47,11.20,,7,11,,13,4,,3,8,,2518,2344,,69.9,101.3,.384,.350,.547,48.0,50.3,9.5,6.4,.507,18.4,29.3,.279
350,Western Carolina,33,18,15,.545,-6.22,-4.19,,10,8,,9,5,,6,9,,2457,2340,,68.5,101.6,.325,.301,.524,48.6,43.1,8.1,10.4,.489,13.9,24.6,.232
351,Western Illinois,30,16,14,.533,-7.14,-4.28,,9,9,,11,4,,5,9,,2191,2171,,68.8,104.8,.263,.331,.542,50.1,38.7,7.3,7.8,.515,15.0,26.6,.188
352,Western Kentucky,33,17,16,.515,-1.09,0.81,,8,12,,9,5,,5,9,,2355,2330,,68.4,102.4,.245,.424,.520,51.7,51.4,8.8,6.3,.495,15.6,30.8,.171
353,Western Michigan,31,8,23,.258,-10.21,-2.00,,4,14,,7,7,,1,15,,2166,2295,,66.7,111.0,.314,.401,.563,46.6,54.3,9.4,8.4,.535,13.0,26.3,.224
354,Wichita State,32,17,15,.531,6.24,3.71,,9,9,,8,8,,7,4,,2272,2191,,67.8,99.5,.259,.408,.505,48.5,56.9,10.1,9.3,.475,14.7,28.2,.185
355,William & Mary,33,13,20,.394,-10.99,-4.18,,7,11,,11,5,,1,14,,2219,2320,,65.3,107.3,.272,.365,.552,50.4,48.8,9.4,14.4,.528,15.1,28.8,.191
356,Winthrop,32,15,17,.469,-6.62,-3.59,,10,8,,10,4,,4,11,,2360,2382,,67.8,109.4,.293,.381,.553,52.3,50.7,11.0,13.5,.537,15.3,33.4,.187
357,Wisconsin,32,18,14,.563,11.13,9.44,,9,11,,10,6,,5,6,,2094,2040,,63.2,98.6,.278,.359,.526,53.0,43.0,7.0,10.2,.501,16.5,25.5,.189
358,Wofford,33,17,16,.515,-4.86,-3.16,,8,10,,12,4,,4,11,,2466,2392,,66.4,107.5,.256,.420,.559,48.5,45.7,8.5,8.6,.533,14.7,27.0,.188
359,Wright State,33,18,15,.545,-2.10,-5.65,,10,10,,9,6,,7,8,,2637,2432,,72.0,100.1,.269,.387,.523,48.4,41.6,10.8,6.1,.499,15.7,26.7,.182
360,Wyoming,31,9,22,.290,2.33,6.43,,4,14,,7,8,,1,8,,2144,2234,,66.4,108.0,.289,.395,.567,50.7,48.9,9.2,10.5,.531,14.9,25.1,.227
361,Xavier NCAA,34,25,9,.735,16.34,8.98,,15,5,,15,2,,7,4,,2768,2518,,71.8,102.7,.271,.342,.534,45.9,54.3,9.9,9.4,.504,14.7,25.4,.196
362,Yale,30,21,9,.700,7.61,-1.82,,10,4,,10,2,,8,7,,2273,1897,,67.5,92.9,.327,.408,.498,45.8,50.4,8.5,7.3,.461,16.5,23.1,.227
363,Youngstown State,34,24,10,.706,1.92,-5.58,,15,5,,14,3,,9,6,,2785,2465,,69.5,102.5,.254,.338,.533,48.3,49.1,7.3,6.2,.508,15.9,28.9,.179
