,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
47,Central Michigan,31,10,21,.323,-11.63,-2.28,,5,13,,6,8,,3,12,,2038,2263,,69.0,94.9,.380,.377,.511,49.8,47.4,8.4,11.5,.472,19.9,31.2,.262
48,Charleston Southern,31,10,21,.323,-9.41,-4.44,,5,13,,6,8,,3,12,,2251,2305,,67.1,107.8,.269,.395,.539,51.0,45.5,7.5,7.8,.511,14.9,32.6,.196
49,Charlotte,32,18,14,.563,3.68,-0.29,,9,11,,11,4,,5,8,,2135,2008,,61.5,106.5,.243,.406,.572,50.2,52.4,8.5,7.9,.548,15.6,22.9,.181
50,Chattanooga,35,18,17,.514,-2.20,-3.20,,7,11,,9,7,,6,9,,2702,2523,,68.9,111.7,.313,.518,.576,51.7,58.0,8.3,10.0,.550,14.8,28.0,.223
51,Chicago State,31,11,20,.355,-10.97,-3.19,,,,,8,0,,3,20,,2180,2264,,66.8,104.9,.316,.430,.539,51.2,49.9,8.4,7.5,.505,17.3,34.2,.230
52,Cincinnati,34,22,12,.647,12.23,5.26,,11,7,,16,3,,4,6,,2629,2356,,69.8,110.0,.262,.399,.545,51.7,55.2,8.9,9.8,.521,13.0,30.6,.184
53,Clemson,34,23,11,.676,10.49,3.66,,14,6,,15,2,,5,6,,2540,2308,,68.1,109.0,.305,.403,.577,51.5,53.9,7.5,9.2,.541,14.6,23.4,.239
54,Cleveland State,34,21,13,.618,-1.90,-4.93,,14,6,,13,3,,7,9,,2437,2314,,66.4,106.4,.294,.275,.524,50.4,49.1,10.3,9.5,.498,14.6,35.4,.200
55,Coastal Carolina,31,11,20,.355,-8.81,-1.63,,5,13,,8,8,,3,11,,2273,2294,,69.1,105.3,.284,.375,.533,51.2,46.9,8.7,9.6,.493,15.1,31.6,.222
56,Colgate NCAA,34,26,8,.765,2.20,-6.71,,17,1,,14,2,,11,4,,2672,2345,,68.3,115.1,.273,.351,.597,51.9,62.0,10.2,7.6,.585,13.4,25.4,.179
57,College of Charleston NCAA,34,31,3,.912,8.43,-4.54,,16,2,,17,1,,11,2,,2747,2290,,70.8,113.3,.328,.479,.554,54.5,49.8,10.3,7.8,.518,14.1,35.6,.243
58,Colorado,34,18,16,.529,12.06,8.85,,8,12,,13,4,,2,9,,2376,2267,,69.6,100.5,.303,.347,.520,52.6,51.2,10.6,9.7,.489,16.5,31.0,.211
59,Colorado State,33,15,18,.455,5.96,6.18,,6,12,,9,7,,4,8,,2391,2355,,66.4,107.9,.296,.385,.586,48.1,62.4,8.4,7.7,.558,15.3,19.9,.220
60,Columbia,29,7,22,.241,-14.69,-2.69,,2,12,,6,9,,1,13,,1966,2197,,70.6,95.3,.282,.413,.502,46.6,48.9,9.5,5.0,.468,17.0,27.0,.201
61,Connecticut NCAA,32,24,8,.750,20.81,7.39,,13,7,,15,2,,6,5,,2518,2087,,68.7,114.6,.316,.418,.569,56.7,62.6,9.5,12.7,.535,15.8,39.4,.237
62,Coppin State,32,9,23,.281,-14.64,-3.48,,4,10,,4,6,,5,16,,2304,2661,,73.1,97.0,.372,.443,.547,42.3,46.3,10.4,6.8,.510,18.5,18.6,.267
63,Cornell,28,17,11,.607,0.28,-2.76,,7,7,,11,2,,6,8,,2287,2129,,72.5,112.1,.282,.490,.580,50.0,59.9,13.3,6.3,.556,15.0,29.5,.204
64,Creighton NCAA,33,21,12,.636,17.63,9.47,,14,6,,13,2,,5,6,,2529,2260,,69.4,109.5,.281,.420,.574,52.7,57.8,7.5,9.5,.543,14.8,25.5,.216
65,Dartmouth,28,10,18,.357,-8.20,-2.74,,6,8,,7,5,,3,11,,1998,2027,,70.8,99.5,.292,.421,.540,49.6,50.1,7.6,10.4,.512,17.9,24.2,.204
66,Davidson,32,16,16,.500,2.20,1.68,,8,10,,7,8,,6,6,,2236,2197,,66.1,104.4,.339,.374,.543,48.7,53.5,8.0,3.5,.503,14.4,24.8,.254
67,Dayton,34,22,12,.647,8.93,1.31,,12,6,,14,2,,5,6,,2334,2075,,63.6,107.2,.355,.373,.560,53.8,62.2,7.5,12.5,.530,16.5,30.8,.248
68,Delaware,33,17,16,.515,-5.59,-3.74,,8,10,,10,5,,4,10,,2298,2333,,67.4,102.6,.331,.366,.534,47.6,47.7,10.2,10.6,.498,14.8,25.3,.241
69,Delaware State,30,6,24,.200,-17.73,-4.98,,4,11,,4,8,,2,14,,1939,2265,,69.6,92.1,.286,.314,.495,50.2,52.1,9.9,8.2,.463,19.7,30.7,.197
70,Denver,32,15,17,.469,-9.13,-5.46,,6,12,,9,5,,4,11,,2325,2402,,69.1,103.6,.416,.258,.566,53.1,43.5,7.9,8.4,.529,18.9,29.8,.298
71,DePaul,33,10,23,.303,2.87,8.99,,3,17,,7,8,,2,12,,2349,2551,,69.8,100.4,.276,.378,.530,45.7,54.5,9.0,12.0,.497,16.1,25.8,.204
72,Detroit Mercy,33,14,19,.424,-3.00,-3.40,,9,11,,9,5,,5,13,,2527,2486,,67.8,112.1,.281,.432,.551,52.5,47.1,9.0,5.5,.516,14.5,35.9,.216
73,Drake NCAA,34,27,7,.794,8.20,-1.25,,15,5,,14,1,,6,6,,2561,2173,,67.0,110.1,.283,.368,.571,52.4,49.8,7.9,7.4,.539,13.7,24.8,.218
74,Drexel,32,17,15,.531,-2.26,-5.42,,10,8,,12,3,,3,9,,2135,1997,,64.0,102.2,.294,.404,.522,51.6,48.4,8.6,8.0,.495,15.4,30.2,.201
75,Duke NCAA,34,26,8,.765,15.50,6.91,,14,6,,16,0,,4,6,,2466,2174,,65.7,110.0,.308,.354,.549,55.8,56.9,8.7,12.0,.511,15.4,36.2,.237
76,Duquesne,32,20,12,.625,4.04,0.11,,10,8,,16,4,,3,7,,2394,2268,,69.4,107.8,.266,.397,.534,49.6,56.4,11.9,10.3,.510,14.5,33.4,.183
77,East Carolina,33,16,17,.485,0.11,1.80,,6,12,,10,6,,2,9,,2271,2327,,68.6,100.4,.371,.416,.509,51.5,56.3,9.5,7.0,.471,16.3,33.0,.255
78,East Tennessee State,32,12,20,.375,-5.86,-4.30,,8,10,,7,9,,4,9,,2211,2208,,66.7,103.2,.301,.349,.533,51.3,47.5,9.1,9.4,.509,16.8,31.5,.202
79,Eastern Illinois,31,9,22,.290,-13.72,-6.38,,5,13,,6,9,,3,12,,2134,2235,,70.7,97.0,.329,.274,.513,47.2,56.3,11.8,10.1,.488,16.8,25.8,.210
80,Eastern Kentucky,33,20,13,.606,-2.41,-2.05,,12,6,,14,2,,5,10,,2553,2380,,72.5,106.3,.244,.381,.519,51.7,52.4,11.1,13.0,.499,14.0,34.1,.161
81,Eastern Michigan,31,8,23,.258,-10.76,-1.59,,5,13,,6,7,,2,13,,2239,2505,,70.3,101.9,.315,.333,.533,45.9,37.2,8.8,6.2,.492,14.9,25.0,.241
