,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
266,San Jose State,33,20,13,.606,5.66,5.44,,10,8,,12,3,,5,8,,2228,2199,,63.3,105.5,.267,.411,.527,55.5,49.8,6.3,11.6,.504,15.7,35.1,.180
267,Santa Clara,33,23,10,.697,9.00,5.50,,11,5,,14,5,,6,3,,2538,2413,,71.2,106.8,.298,.366,.549,53.3,50.1,8.2,10.0,.521,15.2,30.0,.210
268,Seattle,32,20,12,.625,1.19,0.95,,11,7,,12,2,,7,7,,2303,2209,,70.8,101.3,.325,.445,.511,51.3,48.5,8.6,8.2,.473,14.5,29.9,.233
269,Seton Hall,33,17,16,.515,10.94,8.44,,10,10,,10,6,,6,7,,2256,2149,,67.8,100.9,.407,.328,.530,50.8,51.1,12.2,12.3,.492,17.6,30.9,.279
270,Siena,32,17,15,.531,-3.39,-4.76,,11,9,,8,5,,7,8,,2195,2151,,66.6,101.8,.345,.345,.533,51.9,53.4,8.4,10.6,.493,16.9,30.5,.254
271,South Alabama,35,19,16,.543,3.65,-0.42,,9,9,,10,4,,4,10,,2483,2282,,66.7,106.0,.220,.378,.552,47.7,41.8,9.0,10.4,.534,13.2,21.1,.151
272,South Carolina,32,11,21,.344,-1.95,6.34,,4,14,,7,8,,4,8,,2059,2324,,65.1,97.3,.268,.409,.495,49.3,47.7,7.4,7.1,.469,16.8,32.7,.177
273,South Carolina State,31,5,26,.161,-16.59,-3.99,,2,12,,4,6,,1,19,,2274,2599,,73.7,98.7,.290,.339,.505,48.8,51.9,9.7,8.8,.477,17.7,34.7,.194
274,South Carolina Upstate,31,16,15,.516,-7.70,-4.11,,10,8,,11,2,,4,12,,2136,2158,,68.4,100.4,.329,.350,.542,47.3,47.2,10.8,12.8,.519,17.4,25.3,.216
275,South Dakota,31,12,19,.387,-9.46,-2.91,,7,11,,8,6,,2,11,,2149,2282,,67.0,103.6,.272,.403,.544,49.5,51.0,6.7,4.4,.510,15.4,25.6,.208
276,South Dakota State,32,19,13,.594,-1.38,-1.64,,13,5,,10,2,,6,9,,2270,2233,,67.9,103.6,.280,.388,.555,48.8,42.0,7.6,8.3,.518,15.4,21.5,.222
277,South Florida,32,14,18,.438,2.29,2.29,,7,11,,9,9,,4,7,,2303,2303,,69.6,103.0,.307,.371,.531,52.4,50.8,9.3,8.8,.508,16.8,33.0,.200
278,Southeast Missouri State NCAA,36,19,17,.528,-7.06,-6.47,,10,8,,9,4,,5,11,,2789,2734,,73.8,103.2,.378,.399,.540,49.2,51.9,9.3,8.6,.503,15.4,26.5,.268
279,Southeastern Louisiana,32,18,14,.563,-7.77,-6.50,,12,6,,10,4,,7,8,,2483,2432,,70.4,108.1,.317,.346,.556,49.4,51.0,10.1,5.3,.522,14.9,28.9,.235
280,Southern,32,15,17,.469,-8.31,-6.24,,11,7,,9,2,,5,12,,2300,2280,,72.9,97.8,.335,.394,.530,47.7,56.1,11.8,7.4,.495,17.7,25.1,.239
281,Southern California NCAA,32,22,10,.688,13.80,8.27,,14,6,,15,2,,5,5,,2329,2152,,68.4,106.0,.338,.330,.551,49.6,51.7,10.2,13.7,.513,15.9,29.0,.252
282,Southern Illinois,33,23,10,.697,1.54,-1.75,,14,6,,13,2,,8,6,,2168,2026,,64.8,101.0,.299,.463,.553,49.4,59.7,11.1,6.0,.524,17.4,22.9,.216
283,SIU Edwardsville,33,19,14,.576,-6.16,-7.23,,9,9,,9,5,,7,8,,2463,2353,,70.7,105.5,.400,.375,.540,51.1,48.8,9.8,11.4,.497,15.6,31.4,.292
284,Southern Indiana,32,16,16,.500,-8.14,-7.21,,9,9,,10,4,,5,11,,2448,2370,,70.8,106.9,.330,.427,.544,53.3,48.8,10.2,6.9,.517,16.1,33.1,.224
285,Southern Methodist,32,10,22,.313,0.35,5.67,,5,13,,7,9,,1,11,,2248,2418,,70.6,98.0,.330,.337,.506,48.2,53.8,9.9,9.0,.474,15.7,28.1,.223
286,Southern Mississippi,33,25,8,.758,3.41,-1.45,,14,4,,15,0,,8,7,,2436,2182,,68.9,107.1,.321,.369,.546,51.8,55.4,12.1,7.5,.514,15.3,32.0,.229
287,Southern Utah,34,22,12,.647,3.83,2.23,,12,6,,13,2,,5,8,,2812,2529,,73.7,110.6,.389,.384,.570,52.8,45.6,9.9,8.8,.534,15.3,29.6,.284
288,St. Bonaventure,32,14,18,.438,-1.11,-0.20,,8,10,,11,4,,2,11,,2136,2165,,66.7,99.3,.295,.362,.522,48.7,49.4,10.4,10.4,.492,16.5,27.5,.207
289,St. Francis (NY),30,14,16,.467,-16.86,-11.54,,7,9,,10,5,,4,11,,1946,2034,,67.1,96.3,.308,.339,.499,49.1,53.6,11.0,11.8,.464,17.5,31.5,.215
290,St. John's (NY),33,18,15,.545,8.52,6.37,,7,13,,12,6,,3,9,,2552,2481,,73.8,103.3,.277,.270,.522,52.9,51.5,11.0,10.0,.494,15.9,34.0,.194
291,St. Thomas,33,19,14,.576,-2.72,-4.27,,9,9,,12,2,,4,11,,2447,2316,,67.0,110.7,.307,.445,.564,48.1,50.3,8.9,6.5,.525,13.1,24.7,.241
292,Stanford,33,14,19,.424,10.09,8.12,,7,13,,9,6,,2,8,,2321,2256,,66.1,106.4,.294,.397,.550,52.2,58.5,8.6,9.8,.524,16.4,31.1,.204
293,Stephen F. Austin,32,19,13,.594,0.96,-0.45,,11,7,,12,4,,6,5,,2427,2238,,70.9,104.9,.373,.290,.562,50.8,55.6,12.3,7.6,.528,18.6,32.0,.267
294,Stetson,30,17,13,.567,-2.51,-2.51,,12,6,,9,3,,7,9,,2298,2200,,65.5,114.5,.245,.436,.577,50.9,50.4,7.6,8.8,.550,13.6,29.7,.189
295,Stonehill,31,14,17,.452,-13.16,-8.90,,10,6,,7,4,,6,12,,2076,2157,,67.5,98.0,.321,.415,.552,46.1,52.8,10.3,8.1,.514,18.1,19.9,.243
296,Stony Brook,33,11,22,.333,-12.42,-4.10,,6,12,,7,7,,3,13,,2083,2279,,65.1,96.7,.287,.452,.522,49.1,53.6,6.7,7.6,.486,17.1,23.0,.214
297,Syracuse,32,17,15,.531,5.28,4.06,,10,10,,11,7,,5,6,,2372,2333,,68.3,107.7,.306,.290,.550,49.0,52.7,10.9,15.7,.515,14.7,29.9,.229
298,Tarleton State,33,17,16,.515,-0.35,2.13,,8,9,,12,2,,2,12,,2376,2236,,69.3,103.5,.450,.257,.539,48.7,51.9,14.0,10.0,.497,15.7,28.0,.315
299,TCU NCAA,33,21,12,.636,16.14,8.87,,9,9,,13,4,,3,7,,2481,2241,,70.8,105.7,.339,.294,.534,50.8,58.6,11.6,12.5,.502,14.8,32.4,.238
300,Temple,32,16,16,.500,5.04,5.66,,10,8,,9,7,,6,6,,2227,2247,,67.1,101.7,.346,.436,.539,50.4,58.5,7.3,10.3,.497,17.4,28.6,.262
301,Tennessee NCAA,33,23,10,.697,21.86,8.10,,11,7,,14,2,,4,6,,2369,1915,,66.2,108.0,.309,.404,.535,54.9,66.2,12.4,11.8,.503,15.2,36.8,.221
302,Tennessee State,32,18,14,.563,-8.70,-8.63,,10,8,,13,4,,4,8,,2499,2401,,72.8,107.3,.359,.416,.552,50.3,49.2,8.0,9.0,.521,15.1,28.5,.249
303,Tennessee Tech,33,16,17,.485,-9.10,-6.06,,11,7,,11,5,,4,11,,2432,2421,,69.3,103.5,.290,.421,.543,48.4,55.3,8.8,6.5,.514,15.7,26.0,.208
304,Tennessee-Martin,33,19,14,.576,-8.37,-7.61,,10,8,,14,2,,4,11,,2658,2489,,73.5,108.3,.345,.375,.555,51.3,47.6,10.1,9.2,.521,14.1,28.6,.249
305,Texas NCAA,34,26,8,.765,21.21,10.77,,12,6,,17,1,,4,6,,2647,2292,,70.4,109.5,.315,.350,.562,49.5,57.1,11.3,10.2,.527,14.5,28.3,.237
306,Texas A&M NCAA,34,25,9,.735,14.72,7.69,,15,3,,15,1,,7,4,,2490,2251,,67.4,108.7,.459,.337,.546,53.5,52.8,10.1,7.9,.490,15.5,36.6,.349
307,Texas A&M-Commerce,32,13,19,.406,-10.84,-7.28,,9,9,,5,6,,7,12,,2299,2355,,67.1,105.0,.276,.458,.553,48.6,54.8,8.4,8.4,.528,16.4,27.5,.195
308,Texas A&M-Corpus Christi NCAA,34,24,10,.706,-2.45,-7.75,,14,4,,14,2,,7,7,,2728,2465,,71.7,111.1,.352,.345,.563,52.8,55.9,11.9,5.2,.518,15.4,33.7,.278
309,Texas Southern NCAA,35,14,21,.400,-10.28,-4.77,,7,11,,7,6,,3,13,,2422,2518,,70.9,95.6,.338,.281,.498,51.4,46.1,9.3,8.9,.466,17.4,31.0,.225
310,Texas State,35,16,19,.457,-2.22,-0.59,,6,12,,4,10,,7,7,,2309,2334,,64.9,101.7,.328,.261,.521,51.5,40.8,9.7,10.3,.482,15.6,31.5,.239
311,Texas Tech,32,16,16,.500,13.00,8.66,,5,13,,11,6,,3,7,,2347,2208,,68.9,105.7,.348,.368,.556,51.7,49.7,10.5,8.7,.523,17.3,32.1,.251
312,Texas-Rio Grande Valley,32,15,17,.469,-6.16,-0.23,,5,12,,12,6,,3,10,,2518,2502,,74.3,105.1,.433,.354,.564,52.4,58.2,6.3,8.3,.529,18.7,30.9,.302
313,The Citadel,32,10,22,.313,-12.01,-3.66,,5,13,,5,9,,4,11,,2158,2374,,68.2,98.9,.288,.393,.531,46.1,47.3,8.1,7.8,.496,16.2,21.8,.217
314,Toledo,36,28,8,.778,6.39,-1.92,,16,2,,13,1,,10,4,,3082,2776,,71.2,120.2,.351,.353,.600,50.0,49.0,9.7,7.7,.565,12.1,30.3,.269
315,Towson,33,21,12,.636,0.28,-4.75,,12,6,,10,2,,8,7,,2368,2202,,65.7,108.1,.298,.345,.540,54.4,53.6,9.4,10.2,.511,15.6,35.7,.211
316,Troy,33,20,13,.606,1.49,-1.15,,11,7,,11,3,,7,8,,2414,2204,,69.2,105.0,.325,.410,.538,50.3,52.1,12.5,7.4,.507,15.9,30.8,.228
317,Tulane,31,20,11,.645,5.86,3.08,,12,6,,12,3,,5,4,,2478,2392,,74.0,106.3,.354,.381,.566,45.5,56.3,11.2,11.4,.524,13.8,19.3,.275
318,Tulsa,30,5,25,.167,-8.01,4.13,,1,17,,4,10,,0,12,,1959,2323,,68.7,94.2,.267,.424,.502,45.2,48.7,7.9,4.1,.479,16.9,24.8,.173
319,UAB,36,26,10,.722,10.43,1.20,,14,6,,16,2,,6,5,,2941,2561,,71.4,111.4,.360,.322,.551,53.9,50.5,11.3,11.3,.513,15.0,36.2,.265
320,UC Davis,32,18,14,.563,0.00,-1.43,,11,8,,10,4,,5,9,,2392,2274,,70.9,104.2,.434,.346,.545,53.0,48.1,9.9,6.9,.503,17.7,33.7,.308
321,UC Irvine,35,23,12,.657,4.45,-0.31,,15,5,,11,4,,9,7,,2617,2352,,70.0,106.4,.288,.315,.553,52.2,53.4,10.0,6.7,.525,15.4,28.6,.207
322,UC Riverside,34,22,12,.647,1.04,-0.02,,14,6,,9,4,,9,7,,2463,2352,,67.4,105.9,.257,.383,.536,53.7,49.7,7.5,4.7,.512,15.4,32.0,.179
323,UC San Diego,30,10,20,.333,-6.66,-0.48,,5,13,,4,10,,6,9,,2057,2189,,67.0,99.9,.274,.404,.529,47.6,48.5,8.4,5.8,.497,15.7,23.7,.203
324,UC Santa Barbara NCAA,34,27,7,.794,3.74,-2.32,,15,5,,12,3,,10,4,,2454,2231,,65.6,109.7,.348,.295,.577,51.5,53.6,9.8,6.8,.545,15.3,27.0,.253
325,UCLA NCAA,34,29,5,.853,22.64,9.02,,18,2,,17,0,,9,2,,2513,2050,,67.3,109.8,.271,.291,.537,52.7,50.9,12.5,11.9,.509,13.0,33.6,.196
326,UNC Asheville NCAA,34,27,7,.794,-1.47,-5.18,,16,2,,13,0,,10,6,,2551,2332,,69.5,106.4,.413,.374,.580,50.8,49.8,9.0,10.1,.550,17.9,26.4,.287
327,UNC Greensboro,32,20,12,.625,1.71,-2.85,,14,4,,11,3,,8,6,,2306,2064,,67.2,106.4,.321,.392,.546,52.6,57.0,10.5,7.8,.515,15.1,30.2,.229
328,UNC Wilmington,34,24,10,.706,-1.19,-3.07,,12,6,,11,3,,8,6,,2343,2187,,65.4,104.2,.380,.341,.542,50.5,44.9,10.2,8.4,.501,15.9,29.0,.277
329,UT Arlington,32,11,21,.344,-4.76,2.34,,6,12,,6,8,,4,9,,2125,2190,,67.6,97.9,.306,.345,.498,51.5,56.0,9.4,9.0,.470,17.2,34.5,.201
330,Utah,32,17,15,.531,11.79,6.98,,10,10,,12,5,,4,7,,2197,2043,,66.5,102.9,.292,.377,.521,52.8,58.4,7.5,10.1,.490,15.4,31.3,.207
331,Utah State NCAA,34,26,8,.765,14.97,7.00,,13,5,,14,2,,6,4,,2671,2370,,69.2,113.1,.350,.426,.598,52.9,62.4,7.2,8.6,.563,15.5,27.3,.267
332,Utah Tech,33,14,19,.424,0.16,1.33,,5,13,,9,5,,3,13,,2495,2420,,70.8,105.9,.437,.416,.573,51.5,52.4,9.3,6.4,.539,18.6,29.3,.307
333,Utah Valley,34,26,8,.765,7.86,1.24,,15,3,,13,1,,11,5,,2624,2320,,72.1,105.8,.359,.335,.557,52.5,58.9,9.0,15.7,.519,16.6,29.5,.266
334,UTEP,32,14,18,.438,-0.97,1.60,,7,13,,11,7,,3,10,,2192,2192,,68.3,97.7,.394,.302,.520,51.7,48.4,12.8,7.9,.493,19.3,33.2,.249
335,UTSA,32,10,22,.313,-8.00,0.90,,4,16,,8,10,,2,11,,2217,2450,,69.5,98.9,.361,.385,.518,48.9,44.6,6.1,6.6,.475,17.0,29.3,.265
336,Valparaiso,32,11,21,.344,-8.38,-2.41,,5,15,,8,7,,2,12,,2206,2355,,68.7,98.1,.282,.361,.525,49.3,53.6,8.3,7.0,.493,16.2,22.9,.205
337,Vanderbilt,35,21,14,.600,9.42,8.77,,11,7,,13,5,,5,6,,2536,2513,,67.1,107.2,.328,.423,.534,49.8,46.7,7.4,11.9,.500,13.9,30.9,.234
338,Vermont NCAA,33,23,10,.697,1.72,-3.72,,14,2,,13,1,,9,6,,2410,2198,,65.6,110.0,.287,.428,.574,49.1,51.3,9.0,8.5,.552,12.8,20.5,.200
339,Villanova,33,17,16,.515,10.53,8.61,,10,10,,10,4,,5,9,,2307,2230,,65.0,107.2,.299,.477,.562,49.1,46.9,8.7,5.4,.518,13.9,22.5,.247
340,Virginia NCAA,32,25,7,.781,13.54,5.97,,15,5,,15,1,,6,5,,2170,1928,,62.4,108.3,.345,.361,.545,50.0,65.8,11.0,13.5,.513,12.1,25.5,.242
341,Virginia Commonwealth NCAA,34,27,7,.794,10.18,1.65,,15,3,,15,3,,8,3,,2429,2139,,68.4,104.4,.418,.328,.557,50.3,53.1,13.1,12.7,.522,17.2,29.0,.292
342,VMI,32,7,25,.219,-16.11,-3.42,,2,16,,6,8,,1,14,,2220,2457,,67.5,101.9,.211,.458,.525,51.1,45.6,7.9,3.9,.496,16.3,30.4,.162
343,Virginia Tech,34,19,15,.559,9.26,5.20,,8,12,,13,4,,2,10,,2521,2383,,66.8,110.5,.259,.396,.566,49.6,56.7,7.8,8.3,.540,13.1,25.9,.191
344,Wagner,28,15,13,.536,-12.10,-11.14,,8,8,,8,4,,7,9,,1766,1727,,63.5,98.5,.248,.358,.486,53.7,51.8,10.5,5.8,.458,15.6,35.2,.169
345,Wake Forest,33,19,14,.576,8.13,5.31,,10,10,,13,3,,4,8,,2528,2435,,70.1,108.5,.321,.454,.574,49.7,50.6,8.5,7.4,.542,15.4,24.8,.239
346,Washington,32,16,16,.500,7.31,8.47,,8,12,,12,6,,2,9,,2213,2250,,69.2,98.4,.317,.366,.528,47.1,46.8,9.8,13.1,.488,17.6,26.4,.237
347,Washington State,34,17,17,.500,10.97,8.35,,11,9,,10,4,,5,8,,2324,2235,,64.8,105.1,.282,.434,.534,52.1,49.6,7.5,7.3,.504,15.8,31.5,.202
348,Weber State,33,18,15,.545,-2.59,-0.98,,12,6,,8,4,,8,8,,2219,2229,,65.7,100.5,.335,.375,.554,49.7,45.1,9.1,4.6,.514,17.4,21.3,.257
349,West Virginia NCAA,33,19,14,.576,16.47,11.20,,7,11,,13,4,,3,8,,2518,2344,,69.9,108.8,.397,.363,.558,52.0,50.6,9.5,8.7,.517,16.0,33.7,.294
350,Western Carolina,33,18,15,.545,-6.22,-4.19,,10,8,,9,5,,6,9,,2457,2340,,68.5,106.6,.340,.423,.539,51.4,49.5,7.8,6.4,.504,13.5,27.6,.244
351,Western Illinois,30,16,14,.533,-7.14,-4.28,,9,9,,11,4,,5,9,,2191,2171,,68.8,105.7,.319,.372,.542,49.9,51.6,8.4,9.0,.513,13.7,27.0,.223
352,Western Kentucky,33,17,16,.515,-1.09,0.81,,8,12,,9,5,,5,9,,2355,2330,,68.4,103.5,.315,.364,.537,48.3,49.6,9.0,15.0,.505,14.9,26.0,.224
353,Western Michigan,31,8,23,.258,-10.21,-2.00,,4,14,,7,7,,1,15,,2166,2295,,66.7,104.7,.265,.416,.529,53.4,50.4,6.9,6.4,.501,16.2,34.3,.189
354,Wichita State,32,17,15,.531,6.24,3.71,,9,9,,8,8,,7,4,,2272,2191,,67.8,103.1,.308,.372,.539,51.5,51.5,9.2,11.3,.507,16.0,29.1,.221
355,William & Mary,33,13,20,.394,-10.99,-4.18,,7,11,,11,5,,1,14,,2219,2320,,65.3,102.6,.306,.382,.530,49.6,50.7,9.2,5.7,.502,16.0,29.2,.208
356,Winthrop,32,15,17,.469,-6.62,-3.59,,10,8,,10,4,,4,11,,2360,2382,,67.8,108.4,.408,.453,.592,47.7,46.5,7.5,8.4,.556,18.3,26.5,.301
357,Wisconsin,32,18,14,.563,11.13,9.44,,9,11,,10,6,,5,6,,2094,2040,,63.2,101.2,.248,.406,.510,47.0,49.1,9.4,4.6,.486,11.7,22.3,.169
358,Wofford,33,17,16,.515,-4.86,-3.16,,8,10,,12,4,,4,11,,2466,2392,,66.4,110.8,.288,.390,.566,51.5,45.5,8.4,6.1,.537,14.2,29.8,.212
359,Wright State,33,18,15,.545,-2.10,-5.65,,10,10,,9,6,,7,8,,2637,2432,,72.0,108.5,.242,.276,.569,51.6,48.0,8.5,7.8,.546,15.3,27.3,.178
360,Wyoming,31,9,22,.290,2.33,6.43,,4,14,,7,8,,1,8,,2144,2234,,66.4,103.7,.332,.457,.551,49.3,46.6,7.3,7.5,.520,16.0,24.1,.236
361,Xavier NCAA,34,25,9,.735,16.34,8.98,,15,5,,15,2,,7,4,,2768,2518,,71.8,112.9,.308,.313,.581,54.1,63.8,9.1,7.8,.556,15.3,31.8,.220
362,Yale,30,21,9,.700,7.61,-1.82,,10,4,,10,2,,8,7,,2273,1897,,67.5,111.3,.300,.351,.564,54.2,52.2,9.3,12.6,.540,14.3,29.7,.208
363,Youngstown State,34,24,10,.706,1.92,-5.58,,15,5,,14,3,,9,6,,2785,2465,,69.5,115.8,.295,.356,.585,51.7,51.2,9.9,6.9,.552,13.6,31.0,.230
