School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
UTEP,32,14,18,.438,-0.97,1.60,7,13,11,7,3,10,2192,2192,1315,796,1776,.448,158,537,.294,442,699,.632,373,1122,385,288,85,505,576,68.3,97.7,.394,.302,.520,51.7,48.4,12.8,7.9,.493,19.3,33.2,.249,,,
UTSA,32,10,22,.313,-8.00,0.90,4,16,8,10,2,11,2217,2450,1291,749,1826,.410,235,703,.334,484,659,.734,341,1132,334,137,81,439,563,69.5,98.9,.361,.385,.518,48.9,44.6,6.1,6.6,.475,17.0,29.3,.265,,,
Valparaiso,32,11,21,.344,-8.38,-2.41,5,15,8,7,2,12,2206,2355,1310,814,1852,.440,198,668,.296,380,522,.728,251,1087,436,187,83,406,530,68.7,98.1,.282,.361,.525,49.3,53.6,8.3,7.0,.493,16.2,22.9,.205,,,
Vanderbilt,35,21,14,.600,9.42,8.77,11,7,13,5,5,6,2536,2513,1410,880,2054,.428,296,868,.341,480,673,.713,391,1271,411,174,158,383,569,67.1,107.2,.328,.423,.534,49.8,46.7,7.4,11.9,.500,13.9,30.9,.234,,,
Vermont,33,23,10,.697,1.72,-3.72,14,2,13,1,9,6,2410,2198,1337,878,1848,.475,284,791,.359,370,531,.697,215,1035,450,197,97,308,490,65.6,110.0,.287,.428,.574,49.1,51.3,9.0,8.5,.552,12.8,20.5,.200,15,,EAST
Villanova,33,17,16,.515,10.53,8.61,10,10,10,4,5,9,2307,2230,1325,787,1798,.438,289,857,.337,444,538,.825,236,1047,369,187,57,331,522,65.0,107.2,.299,.477,.562,49.1,46.9,8.7,5.4,.518,13.9,22.5,.247,,,
Virginia,32,25,7,.781,13.54,5.97,15,5,15,1,6,5,2170,1928,1285,769,1711,.449,218,617,.353,414,591,.701,264,1025,506,221,135,274,458,62.4,108.3,.345,.361,.545,50.0,65.8,11.0,13.5,.513,12.1,25.5,.242,4,,SOUTH
Virginia Commonwealth,34,27,7,.794,10.18,1.65,15,3,15,3,8,3,2429,2139,1360,846,1818,.465,207,596,.347,530,760,.697,315,1132,449,304,155,454,555,68.4,104.4,.418,.328,.557,50.3,53.1,13.1,12.7,.522,17.2,29.0,.292,12,,WEST
VMI,32,7,25,.219,-16.11,-3.42,2,16,6,8,1,14,2220,2457,1290,800,1923,.416,309,880,.351,311,406,.766,349,1131,365,172,37,411,484,67.5,101.9,.211,.458,.525,51.1,45.6,7.9,3.9,.496,16.3,30.4,.162,,,
Virginia Tech,34,19,15,.559,9.26,5.20,8,12,13,4,2,10,2521,2383,1365,931,1983,.469,281,786,.358,378,514,.735,288,1131,528,177,107,336,526,66.8,110.5,.259,.396,.566,49.6,56.7,7.8,8.3,.540,13.1,25.9,.191,,,
Wagner,28,15,13,.536,-12.10,-11.14,8,8,8,4,7,9,1766,1727,1130,655,1627,.403,181,583,.310,275,403,.682,360,1005,339,189,49,335,540,63.5,98.5,.248,.358,.486,53.7,51.8,10.5,5.8,.458,15.6,35.2,.169,,,
Wake Forest,33,19,14,.576,8.13,5.31,10,10,13,3,4,8,2528,2435,1330,878,1909,.460,315,866,.364,457,613,.746,275,1129,444,199,90,399,528,70.1,108.5,.321,.454,.574,49.7,50.6,8.5,7.4,.542,15.4,24.8,.239,,,
Washington,32,16,16,.500,7.31,8.47,8,12,12,6,2,9,2213,2250,1300,786,1823,.431,209,668,.313,432,577,.749,286,1083,368,220,165,448,529,69.2,98.4,.317,.366,.528,47.1,46.8,9.8,13.1,.488,17.6,26.4,.237,,,
Washington State,34,17,17,.500,10.97,8.35,11,9,10,4,5,8,2324,2235,1365,813,1919,.424,310,832,.373,388,542,.716,369,1183,403,166,93,408,544,64.8,105.1,.282,.434,.534,52.1,49.6,7.5,7.3,.504,15.8,31.5,.202,,,
Weber State,33,18,15,.545,-2.59,-0.98,12,6,8,4,8,8,2219,2229,1345,779,1727,.451,218,647,.337,443,578,.766,218,1032,351,200,47,422,580,65.7,100.5,.335,.375,.554,49.7,45.1,9.1,4.6,.514,17.4,21.3,.257,,,
West Virginia,33,19,14,.576,16.47,11.20,7,11,13,4,3,8,2518,2344,1325,860,1897,.453,240,689,.348,558,753,.741,367,1117,435,221,102,428,608,69.9,108.8,.397,.363,.558,52.0,50.6,9.5,8.7,.517,16.0,33.7,.294,9,,SOUTH
Western Carolina,33,18,15,.545,-6.22,-4.19,10,8,9,5,6,9,2457,2340,1345,846,1962,.431,286,829,.345,479,667,.718,330,1224,419,179,86,355,571,68.5,106.6,.340,.423,.539,51.4,49.5,7.8,6.4,.504,13.5,27.6,.244,,,
Western Illinois,30,16,14,.533,-7.14,-4.28,9,9,11,4,5,9,2191,2171,1205,795,1755,.453,209,652,.321,392,560,.700,284,1034,410,174,107,322,434,68.8,105.7,.319,.372,.542,49.9,51.6,8.4,9.0,.513,13.7,27.0,.223,,,
