School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Providence,35,24,11,0.686,11.94,8.46,10,8,13,4,7,4,2577,2455,1415,909,2067,0.44,221,685,0.323,416,578,0.72,370,1293,460,207,116,508,699,69.8,99.4,0.28,0.331,0.524,50.6,50.6,8.4,8.8,0.493,17.8,30.1,0.201,9.0,R32
Purdue,35,26,9,0.743,20.17,7.46,12,6,17,1,5,5,2726,2281,1415,824,2106,0.391,219,697,0.314,414,591,0.701,315,1074,416,217,101,325,712,67.8,95.2,0.281,0.331,0.478,42.7,50.5,9.1,7.7,0.443,12.0,23.3,0.197,5.0,R64
Radford,31,16,15,0.516,-5.17,-3.45,9,9,8,6,7,7,2266,2248,1270,818,1819,0.45,182,550,0.331,430,610,0.705,334,1077,367,230,98,366,527,67.6,104.8,0.335,0.302,0.533,47.8,44.9,10.7,8.0,0.5,14.8,30.4,0.236,NA,NA
Rhode Island,32,17,15,0.531,7.92,3.29,9,9,13,4,3,9,2220,2072,1295,713,1672,0.426,165,495,0.333,481,662,0.727,280,1038,306,187,111,397,594,65.1,98.4,0.396,0.296,0.522,48.1,42.9,8.9,9.4,0.476,16.7,26.3,0.288,NA,NA
Robert Morris,32,10,22,0.313,-13.53,-7.75,8,10,4,8,5,14,2082,2267,1285,800,1843,0.434,222,662,0.335,445,607,0.733,392,1253,500,200,117,489,553,69.4,101.7,0.329,0.359,0.532,54.6,62.5,9.0,10.3,0.494,18.7,34.7,0.241,NA,NA
Rutgers,32,7,25,0.219,-7.06,6.43,1,17,7,11,0,11,2166,2571,1295,940,2074,0.453,265,711,0.373,426,625,0.682,441,1334,512,230,131,374,573,71.3,111.4,0.301,0.343,0.542,54.5,54.5,10.0,9.5,0.517,13.6,35.6,0.205,NA,NA
Saint Joseph's,36,28,8,0.778,12.1,4.93,13,5,12,4,10,2,2780,2522,1445,924,2218,0.417,286,920,0.311,388,555,0.699,351,1277,454,161,103,410,706,70.1,99.5,0.25,0.415,0.508,48.1,49.1,6.4,7.4,0.481,14.2,25.7,0.175,8.0,R32
Saint Louis,32,11,21,0.344,-2.73,3.49,5,13,7,11,3,8,2106,2305,1290,780,1800,0.433,240,731,0.328,505,708,0.713,316,1196,447,191,138,414,641,69.4,103.0,0.393,0.406,0.539,53.4,57.3,8.5,12.3,0.5,16.2,27.9,0.281,NA,NA
Saint Mary's (CA),35,29,6,0.829,13.6,1.24,15,3,20,1,7,4,2576,2132,1400,804,1964,0.409,204,621,0.329,320,476,0.672,332,1048,378,155,87,337,605,62.3,97.7,0.242,0.316,0.487,46.1,47.0,7.1,7.6,0.461,13.3,26.6,0.163,NA,NA
San Diego State,38,28,10,0.737,11.89,4.33,16,2,16,4,9,2,2605,2303,1530,799,2142,0.373,228,760,0.3,477,657,0.726,390,1266,393,228,135,460,758,66.2,91.0,0.307,0.355,0.469,46.2,49.2,9.0,9.6,0.426,15.8,27.6,0.223,NA,NA
