School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
UTSA,32.0,5.0,27.0,0.156,-16.36,-3.36,3.0,15.0,4.0,10.0,1.0,14.0,72.40625,84.3125,1290.0,24.875,59.84375,0.416,6.875,21.59375,0.318,15.78125,22.46875,0.702,23.71875,10.21875,33.9375,11.4375,6.4375,2.5,13.59375,21.90625,73.1,98.3,0.375,0.361,0.513,0.479,0.46,0.87,0.07,0.473,0.162,0.267,0.264,NA,NA,NA,2016
Valparaiso,37.0,30.0,7.0,0.811,10.71,0.02,16.0,2.0,17.0,1.0,12.0,4.0,75.1891891891892,62.78378378378378,1490.0,26.054054054054053,58.86486486486486,0.443,8.054054054054054,22.405405405405407,0.359,15.027027027027026,20.783783783783782,0.723,28.783783783783782,12.64864864864865,41.43243243243244,14.216216216216216,6.648648648648648,4.72972972972973,12.945945945945946,19.75675675675676,68.7,108.8,0.353,0.381,0.547,0.5589999999999999,0.546,0.96,0.127,0.511,0.158,0.352,0.255,NA,NA,NA,2016
Vanderbilt,33.0,19.0,14.0,0.576,17.2,8.68,11.0,7.0,14.0,2.0,3.0,9.0,75.93939393939394,67.42424242424242,1330.0,25.96969696969697,56.93939393939394,0.456,8.272727272727273,21.63636363636364,0.382,15.727272727272728,22.63636363636364,0.695,29.09090909090909,9.484848484848484,38.57575757575758,14.757575757575758,4.212121212121212,5.515151515151516,11.696969696969695,19.151515151515152,69.2,109.0,0.398,0.38,0.561,0.508,0.568,0.06,0.129,0.529,0.147,0.272,0.276,11.0,R68,SOUTH,2016
Vermont,37.0,23.0,14.0,0.622,-1.51,-4.73,11.0,5.0,13.0,3.0,9.0,10.0,74.97297297297297,70.56756756756756,1480.0,26.64864864864865,55.43243243243244,0.481,6.891891891891892,18.0,0.383,14.783783783783784,20.864864864864863,0.709,26.43243243243243,9.27027027027027,35.7027027027027,13.37837837837838,5.72972972972973,4.351351351351352,13.243243243243244,19.43243243243243,69.3,108.2,0.376,0.325,0.574,0.519,0.502,0.83,0.114,0.543,0.1689999999999999,0.286,0.267,NA,NA,NA,2016
Villanova,40.0,35.0,5.0,0.875,24.08,9.71,16.0,2.0,15.0,1.0,10.0,2.0,77.95,63.575,1605.0,27.15,56.175,0.483,8.675,23.975,0.362,14.975,19.15,0.782,25.85,8.775,34.625,15.925,7.05,3.4,11.0,17.025,67.3,115.4,0.341,0.427,0.597,0.512,0.5870000000000001,0.104,0.0969999999999999,0.561,0.144,0.28,0.267,2.0,Champions,SOUTH,2016
Virginia,37.0,29.0,8.0,0.784,22.04,11.12,13.0,5.0,15.0,0.0,5.0,6.0,70.97297297297297,60.054054054054056,1485.0,26.054054054054053,53.08108108108108,0.491,6.054054054054054,15.054054054054054,0.402,12.81081081081081,17.027027027027028,0.752,23.405405405405407,8.72972972972973,32.13513513513514,14.891891891891891,5.378378378378378,3.216216216216216,9.324324324324325,16.10810810810811,61.5,115.0,0.321,0.284,0.58,0.532,0.5720000000000001,0.87,0.102,0.548,0.132,0.298,0.241,1.0,E8,MIDWEST,2016
Virginia Commonwealth,36.0,25.0,11.0,0.694,13.83,4.35,14.0,4.0,15.0,2.0,7.0,4.0,77.25,67.77777777777777,1450.0,28.05555555555556,62.16666666666666,0.451,7.277777777777778,20.694444444444443,0.352,13.86111111111111,20.02777777777778,0.692,25.0,12.416666666666666,37.41666666666666,14.305555555555555,8.583333333333334,3.75,11.25,19.61111111111111,69.8,110.0,0.322,0.333,0.539,0.52,0.51,0.122,0.98,0.51,0.136,0.332,0.223,10.0,R32,WEST,2016
VMI,30.0,9.0,21.0,0.3,-12.96,-3.15,4.0,14.0,8.0,6.0,1.0,14.0,69.36666666666666,75.46666666666667,1205.0,24.3,59.0,0.412,8.766666666666667,26.1,0.336,12.0,16.6,0.723,23.53333333333333,9.666666666666666,33.2,11.0,6.133333333333334,4.2,13.233333333333333,19.53333333333333,69.9,98.9,0.281,0.442,0.519,0.461,0.4529999999999999,0.87,0.114,0.486,0.165,0.26,0.203,NA,NA,NA,2016
Virginia Tech,35.0,20.0,15.0,0.571,9.93,7.53,10.0,8.0,14.0,5.0,4.0,7.0,74.97142857142858,72.57142857142857,1425.0,25.02857142857143,55.8,0.449,5.714285714285714,16.428571428571427,0.348,19.2,27.542857142857144,0.697,24.542857142857144,10.6,35.142857142857146,12.17142857142857,5.371428571428571,3.571428571428572,12.771428571428572,19.228571428571428,69.7,105.7,0.494,0.294,0.544,0.496,0.486,0.76,0.95,0.5,0.156,0.304,0.344,NA,NA,NA,2016
Wagner,34.0,23.0,11.0,0.676,-4.79,-9.52,13.0,5.0,13.0,4.0,10.0,7.0,70.26470588235294,64.97058823529412,1365.0,25.176470588235293,59.38235294117647,0.424,5.970588235294118,18.147058823529413,0.329,13.941176470588236,19.558823529411764,0.713,25.705882352941178,13.941176470588236,39.64705882352941,13.264705882352942,6.970588235294118,4.0,13.352941176470589,21.852941176470587,67.8,103.2,0.329,0.306,0.512,0.547,0.527,0.102,0.115,0.474,0.163,0.376,0.235,NA,NA,NA,2016
