,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
265,266,San Diego State,38,28,10,.737,11.89,4.33,16,2,16,4,9,2,2605,2303,1530,799,2142,.373,228,760,.300,477,657,.726,390,1266,393,228,135,460,758,66.2,91.0,.307,.355,.469,46.2,49.2,9.0,9.6,.426,15.8,27.6,.223
266,267,San Diego,30,9,21,.300,-7.78,1.42,4,14,6,7,1,11,1822,2074,1200,714,1605,.445,177,490,.361,469,664,.706,281,1081,377,179,102,355,570,66.6,103.9,.414,.305,.540,52.1,52.8,9.0,10.8,.500,15.6,28.5,.292
267,268,San Francisco,30,15,15,.500,-2.92,-0.68,8,10,10,7,5,7,2329,2362,1220,811,1843,.440,280,725,.386,460,644,.714,336,1096,426,151,139,343,631,70.9,109.3,.349,.393,.550,48.1,52.5,7.0,11.8,.516,13.8,29.8,.250
268,269,San Jose State,31,9,22,.290,-5.79,1.35,4,14,7,7,1,13,2186,2290,1245,761,1767,.431,211,600,.352,557,811,.687,317,1133,402,194,88,387,642,71.3,103.1,.459,.340,.532,50.1,52.8,8.7,8.1,.490,15.2,28.3,.315
269,270,Santa Clara,31,11,20,.355,-4.67,1.86,7,11,7,8,3,9,2083,2272,1265,781,1774,.440,243,703,.346,467,645,.724,324,1144,441,152,100,350,582,66.4,108.2,.364,.396,.546,52.2,56.5,7.2,9.4,.509,14.4,29.7,.263
270,271,Savannah State,32,16,16,.500,-15.39,-8.59,9,7,12,3,2,12,1992,2167,1285,736,1689,.436,203,584,.348,492,678,.726,310,1151,374,221,116,497,651,68.2,98.9,.401,.346,.539,53.0,50.8,10.1,11.2,.496,19.8,30.0,.291
271,272,Seattle,32,15,17,.469,-9.62,-5.02,7,7,10,8,3,8,2074,2140,1285,738,1807,.408,259,772,.335,405,605,.669,352,1092,447,268,116,416,607,67.3,99.0,.335,.427,.511,48.2,60.6,12.4,9.8,.480,16.6,30.3,.224
272,273,Seton Hall NCAA,34,25,9,.735,14.66,8.28,12,6,13,3,7,4,2522,2305,1365,814,2027,.402,212,669,.317,465,685,.679,408,1231,414,245,137,469,719,70.7,95.5,.338,.330,.490,47.6,50.9,10.1,9.8,.454,16.6,30.8,.229
273,274,Siena,34,21,13,.618,1.73,-3.19,13,7,12,3,7,9,2659,2492,1385,851,2041,.417,226,704,.321,564,784,.719,385,1097,390,254,123,423,700,71.0,101.3,.384,.345,.516,44.6,45.8,10.3,8.7,.472,14.9,29.8,.276
274,275,South Alabama,33,14,19,.424,-8.18,-2.02,8,12,8,6,4,11,2284,2426,1345,834,1975,.422,231,724,.319,527,747,.705,401,1262,454,191,112,432,651,70.3,102.7,.378,.367,.521,50.7,54.4,8.1,8.9,.481,15.6,32.4,.267
