School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,29,24,5,.828,6.27,-6.37,13,2,13,0,5,4,2196,1753,1160,786,1752,.449,221,643,.344,403,594,.678,329,1047,513,282,86,394,554,72.0,105.2,.339,.367,.540,51.5,65.3,13.5,8.9,.512,16.2,31.3,.230
Air Force,25,5,20,.200,-12.98,0.22,3,17,3,8,1,10,1468,1798,1000,522,1170,.446,174,527,.330,250,361,.693,110,580,308,177,62,361,415,63.9,91.9,.309,.450,.547,40.1,59.0,11.1,8.0,.521,21.2,15.3,.214
Akron,23,15,8,.652,1.85,-1.96,12,6,9,1,5,5,1798,1660,930,628,1415,.444,217,652,.333,325,429,.758,262,895,305,113,84,271,413,70.1,110.2,.303,.461,.555,51.7,48.6,6.9,8.9,.520,14.3,31.0,.230
Alabama,33,26,7,.788,19.58,10.01,16,2,12,1,7,3,2629,2313,1325,924,2125,.435,348,989,.352,433,612,.708,408,1343,464,280,143,458,603,74.7,106.3,.288,.465,.544,51.7,50.2,11.3,10.6,.517,15.9,31.8,.204
Alabama A&M,15,6,9,.400,-18.86,-14.99,4,9,5,2,1,7,950,1008,610,347,868,.400,83,286,.290,173,276,.627,160,577,164,82,54,229,272,70.1,88.9,.318,.329,.475,49.8,47.3,7.7,9.1,.448,18.6,28.1,.199
Alabama State,18,4,14,.222,-24.28,-16.95,4,14,3,6,1,8,1156,1288,720,383,1009,.380,111,350,.317,279,431,.647,205,653,175,110,43,291,343,72.4,88.8,.427,.347,.476,49.1,45.7,8.4,6.1,.435,19.3,29.5,.277
Albany (NY),16,7,9,.438,-4.53,-5.22,6,6,4,5,2,4,1110,1099,640,395,883,.447,102,303,.337,218,301,.724,110,480,187,98,29,201,285,69.7,99.6,.341,.343,.541,47.9,47.3,8.8,5.1,.505,16.4,22.3,.247
Alcorn State,19,6,13,.316,-19.58,-10.06,6,7,4,3,2,9,1256,1437,760,435,1107,.393,113,376,.301,273,376,.726,206,608,177,144,30,276,394,71.3,92.8,.340,.340,.488,47.8,40.7,10.6,5.0,.444,17.7,29.7,.247
American,10,4,6,.400,-6.32,-1.82,4,5,2,2,2,4,691,736,420,248,557,.445,90,238,.378,105,149,.705,78,326,128,73,47,158,193,67.5,97.5,.268,.427,.550,48.2,51.6,10.3,11.4,.526,20.1,24.1,.189
Appalachian State,29,17,12,.586,-5.84,-5.72,7,8,9,4,4,7,2039,1860,1185,690,1688,.409,233,737,.316,426,574,.742,319,1053,344,230,107,343,394,66.8,103.1,.340,.437,.520,50.8,49.9,11.6,10.4,.478,14.9,29.8,.252
Arizona,26,17,9,.654,15.02,8.18,11,9,12,4,5,5,1961,1783,1050,667,1492,.447,174,468,.372,453,623,.727,305,997,403,152,104,309,463,68.4,109.2,.418,.314,.548,55.1,60.4,8.5,11.2,.505,14.7,34.0,.304
Arizona State,25,11,14,.440,7.48,10.24,7,10,7,6,2,6,1858,1927,1010,656,1515,.433,179,537,.333,367,504,.728,196,797,327,182,82,274,478,72.6,101.4,.333,.354,.530,44.6,49.8,9.9,8.8,.492,13.5,21.1,.242
Arkansas,32,25,7,.781,17.80,7.18,13,4,16,1,5,4,2604,2264,1285,935,2071,.451,233,702,.332,501,677,.740,378,1271,466,251,158,412,540,75.1,108.0,.327,.339,.544,52.6,49.8,10.4,13.0,.508,14.7,31.3,.242
Arkansas State,24,11,13,.458,-7.97,-5.87,7,8,9,3,1,9,1741,1667,965,621,1390,.447,154,402,.383,345,478,.722,265,892,347,158,68,313,385,69.3,104.1,.344,.289,.538,52.5,55.9,9.4,7.1,.502,16.2,31.9,.248
Arkansas-Pine Bluff,25,4,21,.160,-22.67,-7.79,3,12,2,3,2,17,1549,1921,1010,524,1356,.386,123,400,.308,378,523,.723,240,807,240,160,95,394,455,69.5,88.2,.386,.295,.483,46.7,45.8,9.1,9.9,.432,19.7,26.7,.279
Army,22,12,10,.545,0.06,0.63,7,7,5,5,5,3,1578,1529,885,587,1286,.456,172,527,.326,232,364,.637,178,761,316,138,32,275,342,70.0,101.9,.283,.410,.541,49.5,53.8,8.9,4.2,.523,15.9,23.2,.180
Auburn,27,13,14,.481,10.02,9.28,7,11,8,5,3,8,2084,2064,1090,711,1628,.437,245,751,.326,417,589,.708,348,1063,400,168,163,438,482,73.4,104.1,.362,.461,.546,52.0,56.3,8.4,14.8,.512,18.7,34.8,.256
Austin Peay,27,14,13,.519,-6.66,-8.22,10,10,8,5,4,6,2007,1890,1090,733,1617,.453,194,573,.339,347,462,.751,341,931,357,183,54,397,472,69.0,106.6,.286,.354,.546,52.1,48.7,9.7,5.9,.513,17.8,36.0,.215
Ball State,23,10,13,.435,-1.96,-1.22,8,9,7,4,3,8,1719,1736,930,613,1384,.443,195,570,.342,298,397,.751,229,848,318,126,55,330,441,72.0,102.7,.287,.412,.547,49.4,51.9,7.5,6.2,.513,17.3,27.8,.215
Baylor,30,28,2,.933,24.83,7.40,13,1,11,0,7,1,2487,1964,1205,917,1886,.486,299,724,.413,354,500,.708,374,1079,507,267,111,345,513,69.6,118.7,.265,.384,.586,53.2,55.3,12.7,10.3,.565,14.0,36.4,.188
Bellarmine,22,14,8,.636,-1.76,-5.56,10,3,6,4,7,2,1634,1456,880,615,1211,.508,143,381,.375,261,345,.757,171,667,342,160,50,245,342,65.8,112.9,.285,.315,.594,50.8,55.6,11.1,8.3,.567,15.1,26.8,.216
Belmont,30,26,4,.867,3.46,-8.71,18,2,11,1,10,2,2439,2074,1205,894,1829,.489,271,787,.344,380,515,.738,264,1072,547,232,87,361,438,71.9,112.7,.282,.430,.588,50.4,61.2,10.7,7.5,.563,14.8,26.1,.208
Binghamton,18,4,14,.222,-12.24,-5.35,4,10,1,9,3,5,1178,1302,735,430,1039,.414,156,472,.331,162,241,.672,191,642,199,90,55,250,307,66.2,96.9,.232,.454,.511,50.2,46.3,7.4,8.3,.489,17.8,29.1,.156
Boise State,28,19,9,.679,9.75,1.71,14,6,11,1,6,6,2122,1868,1125,743,1634,.455,220,635,.346,416,566,.735,253,995,378,183,80,328,478,70.2,107.4,.346,.389,.558,52.1,50.9,9.3,7.7,.522,14.7,26.8,.255
Boston College,20,4,16,.200,0.82,8.97,2,11,3,5,0,7,1427,1590,805,500,1185,.422,180,546,.330,247,352,.702,183,665,230,144,77,274,324,71.8,98.7,.297,.461,.528,47.2,46.0,10.0,10.0,.498,16.8,25.0,.208
Boston University,18,7,11,.389,-3.71,0.84,6,10,2,6,5,5,1249,1331,720,451,1035,.436,125,393,.318,222,296,.750,181,636,190,97,56,225,305,67.9,102.2,.286,.380,.531,51.2,42.1,7.9,8.2,.496,16.1,28.8,.214
Bowling Green State,26,14,12,.538,-0.17,-2.37,10,8,4,7,10,3,2015,1939,1050,724,1732,.418,213,667,.319,354,481,.736,325,996,328,184,57,256,442,71.9,106.8,.278,.385,.514,49.4,45.3,9.8,5.9,.480,11.5,30.5,.204
Bradley,28,12,16,.429,0.32,1.17,6,12,8,6,2,9,1948,1864,1130,736,1636,.450,192,603,.318,284,393,.723,284,1033,382,144,100,346,455,66.4,103.9,.240,.369,.534,52.3,51.9,7.7,11.3,.509,16.0,29.3,.174
Brigham Young,27,20,7,.741,15.19,7.23,10,3,11,2,7,2,2109,1853,1095,776,1608,.483,236,633,.373,321,443,.725,255,1058,436,124,76,356,486,70.2,109.8,.275,.394,.580,54.7,56.2,6.5,7.2,.556,16.4,28.6,.200
Brown,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant,22,15,7,.682,-1.37,-7.27,10,4,10,1,5,5,1843,1664,880,638,1372,.465,208,546,.381,359,472,.761,224,876,336,152,78,333,365,77.2,108.5,.344,.398,.577,50.8,52.7,8.9,8.6,.541,17.3,28.2,.262
Bucknell,12,5,7,.417,-7.78,-5.36,4,6,2,3,3,4,899,928,480,311,683,.455,88,267,.330,189,248,.762,78,402,144,70,42,152,209,73.1,102.5,.363,.391,.561,47.6,46.3,8.0,8.1,.520,16.0,19.8,.277
Buffalo,25,16,9,.640,6.50,-1.58,12,5,8,3,5,3,2034,1823,1010,766,1662,.461,175,518,.338,327,487,.671,370,1094,397,199,103,347,442,74.2,108.6,.293,.312,.537,55.1,51.8,10.6,9.6,.514,15.5,37.2,.197
Butler,25,10,15,.400,4.76,9.92,8,12,8,4,1,9,1588,1717,1015,572,1393,.411,179,554,.323,265,410,.646,230,807,308,139,51,286,406,65.1,96.1,.294,.398,.500,48.8,53.8,8.4,6.0,.475,15.3,26.0,.190
Cal Poly,24,4,20,.167,-13.69,-1.56,1,15,3,8,0,11,1475,1700,965,519,1315,.395,157,491,.320,280,388,.722,187,778,298,149,84,333,447,68.5,89.3,.295,.373,.492,46.4,57.4,9.0,9.3,.454,18.2,22.1,.213
Cal State Bakersfield,26,15,11,.577,-0.13,-2.38,11,7,9,2,6,8,1811,1665,1045,684,1531,.447,146,414,.353,297,416,.714,348,959,365,167,78,338,499,65.7,105.6,.272,.270,.524,56.2,53.4,9.7,10.1,.494,16.4,39.3,.194
Cal State Fullerton,16,6,10,.375,-6.32,-3.05,5,9,5,4,1,5,1232,1257,645,430,951,.452,131,341,.384,241,326,.739,140,526,218,107,32,205,271,72.7,105.1,.343,.359,.557,47.6,50.7,9.1,5.0,.521,15.6,25.0,.253
Cal State Northridge,22,9,13,.409,-8.69,-1.97,5,9,4,7,4,4,1586,1709,885,560,1323,.423,170,503,.338,296,407,.727,208,730,293,140,47,261,383,70.9,101.1,.308,.380,.523,47.0,52.3,8.9,6.1,.488,14.7,25.3,.224
California,29,9,20,.310,4.89,9.75,3,17,6,8,1,11,1897,2008,1160,661,1536,.430,204,622,.328,371,532,.697,235,917,346,126,65,370,516,66.3,98.7,.346,.405,.530,49.4,52.3,6.6,6.2,.497,17.1,24.6,.242
California Baptist,23,13,10,.565,-5.25,-5.04,6,6,11,4,2,5,1820,1674,925,634,1334,.475,215,547,.393,337,457,.737,221,853,403,116,57,310,454,71.1,110.6,.343,.410,.587,53.1,63.6,7.1,6.3,.556,16.7,29.0,.253
Campbell,27,17,10,.630,-6.82,-7.34,11,6,9,3,6,7,1917,1840,1095,699,1409,.496,195,520,.375,324,478,.678,165,767,387,165,61,327,459,65.8,106.4,.339,.369,.586,46.2,55.4,9.2,6.7,.565,16.7,20.7,.230
Canisius,13,7,6,.538,-8.61,-7.84,7,5,3,1,4,4,915,925,520,321,786,.408,97,327,.297,176,248,.710,130,450,165,73,45,156,234,71.5,98.4,.316,.416,.506,48.6,51.4,7.8,8.7,.470,14.7,26.6,.224
Central Arkansas,24,5,19,.208,-14.86,-1.99,4,12,4,5,1,14,1701,1933,960,606,1388,.437,170,468,.363,319,445,.717,246,889,322,121,64,419,433,74.0,95.8,.321,.337,.532,51.1,53.1,6.8,6.8,.498,20.8,28.9,.230
Central Connecticut State,21,5,16,.238,-15.12,-6.27,5,13,3,6,2,9,1439,1625,840,522,1230,.424,150,463,.324,245,348,.704,179,664,270,145,54,298,359,72.0,95.2,.283,.376,.516,44.7,51.7,9.6,7.1,.485,17.6,23.4,.199
Central Florida,23,11,12,.478,5.94,8.15,8,10,6,3,4,8,1546,1597,925,542,1262,.429,180,507,.355,282,387,.729,216,765,285,157,79,340,389,68.0,98.3,.307,.402,.535,48.9,52.6,10.0,9.8,.501,19.0,28.2,.223
Central Michigan,23,7,16,.304,-12.34,-4.19,3,13,5,7,2,9,1766,1835,920,631,1417,.445,152,462,.329,352,523,.673,241,833,246,188,67,307,396,74.9,102.5,.369,.326,.530,48.3,39.0,10.9,7.6,.499,15.6,27.7,.248
Charleston Southern,21,3,18,.143,-16.72,-6.22,2,15,1,9,2,8,1375,1550,845,480,1182,.406,160,506,.316,255,357,.714,214,778,218,129,81,346,385,70.2,92.7,.302,.428,.509,49.5,45.4,8.7,10.3,.474,20.4,28.2,.216
Charlotte,25,9,16,.360,-5.68,-2.43,5,11,6,7,3,8,1587,1668,1025,545,1261,.432,143,441,.324,354,484,.731,172,778,282,136,73,335,364,64.6,95.9,.384,.350,.532,49.4,51.7,8.2,8.6,.489,18.3,22.2,.281
Chattanooga,26,18,8,.692,-1.54,-2.92,9,7,9,3,9,4,1888,1801,1050,667,1522,.438,218,607,.359,336,429,.783,217,881,319,178,48,289,370,68.6,104.8,.282,.399,.547,49.3,47.8,9.9,4.9,.510,14.3,23.9,.221
Chicago State,9,0,9,.000,-31.82,1.41,,,,,0,7,499,798,360,180,497,.362,51,203,.251,88,126,.698,54,234,89,49,13,140,178,71.2,77.8,.254,.408,.448,38.0,49.4,7.6,3.7,.413,20.1,16.6,.177
Cincinnati,23,12,11,.522,3.99,7.21,8,6,5,5,5,5,1585,1659,920,566,1339,.423,163,524,.311,290,442,.656,245,832,344,155,87,336,435,71.3,96.6,.330,.391,.512,51.1,60.8,9.5,10.3,.484,17.8,29.1,.217
Clemson,24,16,8,.667,12.49,9.49,10,6,11,1,2,5,1558,1486,965,562,1323,.425,198,574,.345,236,307,.769,206,783,319,146,69,303,374,64.9,99.6,.232,.434,.530,49.9,56.8,9.3,9.2,.500,17.1,26.4,.178
Cleveland State,27,19,8,.704,-5.12,-4.82,16,4,9,2,8,5,1914,1922,1105,701,1558,.450,172,535,.321,340,507,.671,284,934,371,188,69,348,524,67.6,102.6,.325,.343,.532,49.4,52.9,10.1,7.8,.505,16.2,30.5,.218
Coastal Carolina,26,18,8,.692,-2.74,-7.60,9,5,12,1,3,5,2067,1773,1050,732,1604,.456,221,618,.358,382,533,.717,352,1130,404,213,103,394,435,72.3,108.9,.332,.385,.556,56.4,55.2,11.2,11.9,.525,17.5,36.9,.238
Colgate,16,14,2,.875,13.66,-1.90,11,1,8,1,6,0,1363,1114,645,495,1005,.493,148,367,.403,225,311,.723,152,638,282,113,55,173,259,72.7,116.3,.309,.365,.591,53.2,57.0,9.6,8.5,.566,13.0,27.6,.224
College of Charleston,19,9,10,.474,-4.96,-3.13,6,4,8,6,1,3,1341,1329,780,481,1066,.451,158,422,.374,221,311,.711,156,623,201,100,53,197,324,64.7,106.3,.292,.396,.552,49.4,41.8,7.9,8.4,.525,14.0,24.7,.207
Colorado,32,23,9,.719,18.88,9.57,14,6,11,1,6,6,2340,2042,1280,828,1815,.456,246,661,.372,438,535,.819,312,1113,436,167,88,364,526,66.5,110.0,.295,.364,.565,53.2,52.7,7.8,7.8,.524,15.0,30.6,.241
Colorado State,28,20,8,.714,8.06,1.06,14,4,10,1,6,4,2072,1871,1120,715,1536,.465,235,666,.353,407,514,.792,212,965,408,164,75,378,465,69.5,106.5,.335,.434,.582,50.6,57.1,8.4,8.1,.542,17.5,24.1,.265
Columbia,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,23,15,8,.652,15.77,8.59,11,6,7,3,6,3,1650,1485,925,602,1388,.434,155,463,.335,291,403,.722,311,879,297,142,121,268,432,66.2,107.8,.290,.334,.522,53.6,49.3,9.3,14.6,.490,14.5,37.0,.210
Coppin State,22,9,13,.409,-12.37,-6.06,8,4,5,3,4,9,1602,1741,880,529,1287,.411,193,636,.303,351,564,.622,164,796,286,188,71,348,394,79.3,91.8,.438,.494,.515,43.7,54.1,10.8,8.0,.486,18.3,18.5,.273
Cornell,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,31,22,9,.710,16.28,8.54,14,6,11,3,7,4,2355,2115,1250,878,1862,.472,293,811,.361,306,478,.640,259,1108,485,216,103,341,476,69.6,108.3,.257,.436,.564,49.4,55.2,9.9,9.0,.550,14.0,24.3,.164
Dartmouth,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,22,13,9,.591,9.02,3.40,7,4,7,4,4,2,1579,1411,885,573,1214,.472,216,594,.364,217,316,.687,197,758,332,113,57,236,327,63.6,112.3,.260,.489,.579,53.5,57.9,8.0,8.2,.561,14.7,28.2,.179
Dayton,24,14,10,.583,6.31,4.35,9,7,8,3,4,6,1674,1627,985,592,1239,.478,192,516,.372,298,418,.713,161,792,325,108,47,346,369,66.2,102.7,.337,.416,.582,49.9,54.9,6.6,5.3,.555,19.4,23.0,.241
Delaware,15,7,8,.467,-5.19,-5.04,5,4,6,3,1,4,1013,1012,600,347,793,.438,107,321,.333,212,297,.714,131,526,188,69,54,215,262,67.8,99.6,.375,.405,.542,51.6,54.2,6.8,9.6,.505,18.7,26.9,.267
Delaware State,19,3,16,.158,-24.09,-6.33,1,11,3,6,0,10,1345,1629,765,468,1183,.396,152,492,.309,257,357,.720,205,678,216,123,69,321,404,77.1,91.2,.302,.416,.497,46.5,46.2,8.3,9.4,.460,19.2,26.9,.217
Denver,21,2,19,.095,-16.40,-5.80,1,13,2,10,0,9,1466,1662,850,519,1171,.443,141,402,.351,287,398,.721,156,636,250,120,54,311,431,71.3,96.7,.340,.343,.539,46.8,48.2,7.9,7.5,.503,18.6,22.1,.245
DePaul,19,5,14,.263,2.67,8.83,2,13,2,8,2,5,1250,1367,770,481,1154,.417,103,327,.315,185,273,.678,229,717,217,130,74,300,374,70.6,91.9,.237,.283,.487,50.1,45.1,9.6,11.0,.461,18.9,31.8,.160
Detroit Mercy,22,12,10,.545,-3.66,-6.21,10,6,7,5,5,5,1683,1627,885,598,1290,.464,225,575,.391,262,326,.804,197,719,315,150,54,253,314,68.2,111.5,.253,.446,.582,49.1,52.7,9.9,7.2,.551,14.9,26.9,.203
Drake,31,26,5,.839,9.42,-0.48,15,3,14,1,9,2,2354,1999,1250,908,1878,.483,218,594,.367,320,449,.713,317,1120,423,216,92,320,487,66.8,112.8,.239,.316,.563,53.7,46.6,10.3,8.4,.542,13.3,31.1,.170
Drexel,20,12,8,.600,-0.97,-3.92,4,5,3,2,4,5,1407,1348,800,514,1100,.467,145,391,.371,234,300,.780,174,677,298,91,48,256,298,66.0,106.5,.273,.355,.566,53.2,58.0,6.9,6.4,.533,17.1,28.4,.213
Duke,24,13,11,.542,13.04,8.33,9,9,8,5,3,6,1824,1711,970,692,1479,.468,201,571,.352,239,346,.691,269,851,390,197,109,307,410,69.1,108.8,.234,.386,.555,51.3,56.4,11.8,11.8,.536,15.7,32.0,.162
Duquesne,18,9,9,.500,2.32,2.49,7,7,5,2,2,5,1205,1208,720,438,1040,.421,115,385,.299,214,329,.650,205,654,241,121,80,240,310,68.4,98.0,.316,.370,.504,50.2,55.0,9.8,13.0,.476,16.7,31.0,.206
East Carolina,19,8,11,.421,1.00,3.83,2,10,7,6,1,4,1269,1291,765,449,1094,.410,109,359,.304,262,362,.724,189,653,303,117,59,240,325,68.9,96.3,.331,.328,.501,49.0,67.5,8.9,9.9,.460,15.9,27.2,.239
East Tennessee State,25,13,12,.520,1.65,0.30,8,7,8,4,3,5,1736,1654,1005,620,1416,.438,201,575,.350,295,423,.697,253,897,295,184,63,339,431,67.6,102.2,.299,.406,.537,52.2,47.6,10.8,8.4,.509,17.3,29.7,.208
Eastern Illinois,27,9,18,.333,-12.71,-7.19,6,14,5,7,4,11,1874,2023,1095,707,1623,.436,186,574,.324,274,417,.657,285,944,360,193,88,383,435,70.2,97.6,.257,.354,.515,48.9,50.9,10.0,8.8,.493,17.4,28.7,.169
Eastern Kentucky,29,22,7,.759,-2.68,-8.24,15,5,10,2,9,4,2372,2137,1180,871,1946,.448,279,778,.359,351,497,.706,306,1033,461,299,103,373,533,76.2,105.6,.255,.400,.544,47.5,52.9,13.3,9.2,.519,14.6,26.7,.180
Eastern Michigan,18,6,12,.333,-14.23,-1.23,3,11,5,4,1,8,1267,1362,720,448,1077,.416,128,411,.311,243,326,.745,169,594,198,159,43,221,274,71.4,98.6,.303,.382,.514,46.7,44.2,12.4,7.1,.475,15.2,25.1,.226
Eastern Washington,24,16,8,.667,4.03,-3.15,12,3,7,2,6,5,1879,1690,960,667,1425,.468,204,574,.355,341,431,.791,178,848,365,115,70,277,407,71.8,109.0,.302,.403,.576,50.7,54.7,6.7,7.4,.540,14.5,23.0,.239
Elon,19,10,9,.526,-5.32,-4.43,4,7,4,2,3,6,1249,1235,760,449,1083,.415,154,474,.325,197,266,.741,166,652,206,108,39,219,359,66.8,98.4,.246,.438,.516,50.7,45.9,8.5,6.7,.486,15.3,25.0,.182
Evansville,25,9,16,.360,-4.85,-0.01,7,11,8,4,1,10,1619,1740,1015,571,1299,.440,240,637,.377,237,330,.718,149,670,291,122,56,274,377,62.4,102.3,.254,.490,.556,45.6,51.0,7.7,6.3,.532,15.8,19.0,.182
Fairfield,27,10,17,.370,-11.46,-6.57,7,11,4,8,3,8,1668,1800,1090,580,1456,.398,163,517,.315,345,496,.696,265,949,271,125,62,349,480,65.2,93.8,.341,.355,.493,50.6,46.7,7.0,6.1,.454,17.1,28.1,.237
Fairleigh Dickinson,24,9,15,.375,-10.17,-6.46,8,10,4,6,5,9,1801,1890,970,645,1432,.450,194,517,.375,317,445,.712,244,813,287,182,93,340,439,71.9,103.2,.311,.361,.548,47.8,44.5,10.4,10.4,.518,17.1,28.7,.221
Florida,25,15,10,.600,13.70,9.82,9,7,6,3,5,5,1854,1757,1005,663,1407,.471,169,475,.356,359,477,.753,245,882,293,180,131,375,464,70.6,104.6,.339,.338,.567,51.5,44.2,10.2,14.1,.531,18.7,30.6,.255
Florida A&M,20,8,12,.400,-12.35,-9.55,7,5,4,1,4,10,1314,1370,800,500,1126,.444,95,303,.314,219,336,.652,206,705,265,130,50,338,364,70.9,92.7,.298,.269,.511,49.9,53.0,9.2,6.8,.486,20.8,30.2,.194
Florida Atlantic,23,13,10,.565,-2.05,-4.94,7,5,7,1,4,7,1796,1537,925,652,1409,.463,223,587,.380,269,407,.661,287,929,335,175,63,318,415,70.7,109.9,.289,.417,.560,55.4,51.4,10.7,7.7,.542,16.6,34.0,.191
Florida Gulf Coast,18,10,8,.556,-9.63,-7.13,4,5,7,4,2,2,1292,1242,720,483,1126,.429,146,499,.293,180,271,.664,206,700,246,134,77,265,280,72.5,99.0,.241,.443,.515,50.9,50.9,10.3,11.2,.494,17.4,29.9,.160
Florida International,26,9,17,.346,-11.20,-3.24,2,15,7,8,2,9,1914,1985,1055,690,1604,.430,273,816,.335,261,392,.666,252,847,390,219,105,380,463,72.8,99.7,.244,.509,.535,46.0,56.5,11.4,10.0,.515,17.5,26.2,.163
Florida State,25,18,7,.720,17.12,9.16,11,4,12,1,3,4,1929,1730,1010,693,1461,.474,192,510,.376,351,474,.741,272,918,363,182,127,359,459,70.0,109.1,.324,.349,.572,52.6,52.4,10.3,14.3,.540,17.6,33.7,.240
Fordham,14,2,12,.143,-11.69,3.09,2,11,2,5,0,6,725,932,560,257,716,.359,79,294,.269,132,197,.670,95,415,153,87,28,187,221,64.2,80.6,.275,.411,.448,43.5,59.5,9.7,7.0,.414,18.8,19.2,.184
Fresno State,24,12,12,.500,-3.57,0.07,9,11,7,5,4,6,1591,1618,965,552,1289,.428,164,499,.329,323,485,.666,257,853,249,158,70,344,427,66.9,98.6,.376,.387,.524,52.4,45.1,9.8,8.7,.492,18.5,31.0,.251
Furman,25,16,9,.640,5.99,-1.69,10,5,11,1,5,7,1990,1723,1005,730,1499,.487,242,708,.342,288,398,.724,223,879,416,205,84,313,428,70.9,111.8,.266,.472,.589,51.6,57.0,11.5,9.5,.568,15.6,27.2,.192
Gardner-Webb,26,11,15,.423,-3.87,-6.14,10,10,7,4,4,11,1837,1778,1040,651,1465,.444,232,643,.361,303,439,.690,239,895,339,153,125,304,492,67.0,105.5,.300,.439,.549,49.5,52.1,8.8,14.7,.524,15.4,26.7,.207
George Mason,22,13,9,.591,1.91,0.48,8,6,7,3,3,4,1569,1538,905,578,1347,.429,160,487,.329,253,394,.642,254,834,287,159,95,282,353,69.2,100.2,.293,.362,.511,51.9,49.7,10.2,11.6,.488,15.5,30.2,.188
George Washington,17,5,12,.294,-5.75,-1.57,3,5,3,6,1,5,1158,1229,685,411,928,.443,102,315,.324,234,335,.699,136,582,194,107,46,233,247,68.9,98.1,.361,.339,.533,49.3,47.2,9.1,7.0,.498,17.6,24.5,.252
